"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"antique";-1,5979;10,2337;-0,0914;-0,0417;-4,3176;-0,1739;-0,0112
"entrepreneur";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"exister";-0,6859;1,4587;-0,1125;-0,0513;-0,3115;-0,214;-0,0137
"peret";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"actuel";-1,7209;3,2219;-0,0985;-0,0449;-0,5243;-0,1873;-0,012
"retour";-1,8338;-2,2543;-0,2041;-0,0931;5,3804;-0,3882;-0,0249
"cnews";-2,9517;-1,8651;-0,1689;-0,077;6,5433;-0,3212;-0,0206
"élément";-1,3519;0,579;-0,0774;1,1078;0,4479;-0,1471;-0,0094
"groupe";-1,7209;-0,5141;-0,0985;-0,0449;1,3025;1,1832;-0,012
"entier";-0,8374;11,3118;-0,1618;-0,0738;-6,2048;-0,3078;-0,0197
"humour";21,3073;-4,9054;-0,4441;-0,2025;-8,4171;-0,8446;-0,0542
"frédéric";-4,1837;-2,6436;-0,2393;-0,1092;7,7869;-0,1401;-0,0292
"boucher";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"courir";7,8217;-2,9552;0,3373;0,6109;-5,0176;-0,5089;4,2693
"haut";-2,7054;-1,7095;-0,1548;-0,0706;5,9973;-0,2944;-0,0189
"nombreux";29,6462;-0,9882;-0,6918;-0,3155;-19,8964;-1,316;-0,0844
"apporter";-1,3519;1,6439;-0,0774;-0,0353;-0,6933;1,3761;-0,0094
"revue";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"cnrs";-1,3519;-0,8543;-0,0774;-0,0353;2,9966;-0,1471;-0,0094
"sse";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"chercheur";-1,229;-0,7766;0,8254;-0,0321;1,7359;-0,1337;-0,0086
"départ";23,5105;-3,5007;-0,3169;-0,1445;-11,8388;-0,6028;-0,0387
"bellver";-5,9108;-3,7347;-0,3381;-0,1542;13,1063;-0,6431;-0,0413
"porter";-1,229;1,1817;0,8254;-0,0321;-0,2705;-0,1337;-0,0086
"envoyer";0,3941;-0,4598;-0,0914;-0,0417;0,2221;-0,1739;1,5958
"alain";-1,5979;1,9376;-0,0914;-0,0417;0,2221;-0,1739;-0,0112
"phénomène";-6,2812;1,1984;0,705;-0,1639;1,4183;0,3367;-0,0438
"péril";29,9535;-3,8127;-0,3452;-0,1574;-16,3138;-0,6565;-0,0421
"pté";15,8577;-2,0208;-0,183;-0,0834;-8,6428;-0,348;-0,0223
"sud";-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"christian";-1,229;-0,7766;-0,0703;-0,0321;2,724;-0,1337;-0,0086
"enfant";-1,5416;-0,8376;1,503;0,5648;1,0867;0,4245;-0,037
"vaisseau";1,3029;0,4495;1,2506;1,8769;-5,3804;1,4573;-0,0206
"bout";-1,229;0,6647;-0,0703;-0,0321;0,6313;-0,1337;-0,0086
"affrontement";-1,5979;-1,0097;-0,0914;-0,0417;3,5419;-0,1739;-0,0112
"blanc";-1,967;0,3009;-0,1125;-0,0513;1,6788;-0,214;-0,0137
"passer";-3,3292;5,8774;0,705;-0,1639;-1,2754;0,3367;-0,0438
"professeur";-2,5823;-0,2661;3,508;-0,0674;-0,4259;2,4816;-0,018
"maison";-1,013;-0,4667;2,421;-0,0642;0,4442;0,3372;-0,0172
"arriver";0,4477;-0,3012;-0,1125;2,2221;-0,8175;0,4099;-0,0137
"tourner";-1,229;-0,7766;-0,0703;-0,0321;1,0804;1,4546;-0,0086
"vincent";-1,4749;-0,932;-0,0844;-0,0385;2,2093;0,5101;-0,0103
"matin";-1,4749;-0,932;-0,0844;-0,0385;3,2692;-0,1605;-0,0103
