"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_CanalFamily";"*chaine_D17";"*chaine_Direct8";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_FranceO";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX";"*chaine_W9"
"envoyer";0;0;0;3;0;0;1;2;0;2;3;0;0;0;0;2;1;0;0;1;0;1;0;0
"voyage";0;7;11;0;0;0;0;1;4;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0
"chien";0;0;0;1;0;0;1;1;9;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0
"face";0;1;0;4;0;0;1;7;0;2;1;0;1;0;1;0;0;0;0;0;0;1;0;0
"rouge";0;0;0;1;0;0;2;2;0;0;1;2;1;0;1;1;0;0;0;0;0;0;0;0
"montrer";0;0;1;0;0;0;1;4;3;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0
"tenter";0;0;0;36;0;0;0;4;2;1;0;2;2;0;3;0;42;0;0;0;0;8;0;0
"attaquer";0;0;0;5;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
"télévision";0;0;1;2;0;0;4;2;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0
"quitter";0;0;1;6;0;0;2;6;0;81;0;0;0;0;1;3;1;0;0;0;0;1;0;0
"astrobiologiste";0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
"inviter";0;7;0;11;0;0;12;8;0;0;4;0;0;0;1;11;0;0;0;0;0;1;0;0
"seuil";0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
"ados";0;0;0;1;0;0;1;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"éléphant";0;0;0;0;0;0;0;0;0;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"site";0;1;0;2;0;0;2;2;0;0;1;0;0;0;0;4;0;1;0;3;11;8;0;0
"paul";0;0;0;5;0;0;0;2;0;0;2;0;1;0;0;49;0;0;0;0;2;5;0;0
"politique";0;5;4;1;0;0;1;3;0;0;7;0;0;0;0;11;0;0;0;0;1;0;0;0
"crise";0;6;0;0;0;0;0;0;0;0;5;0;0;0;1;0;0;0;0;0;0;1;0;0
"manège";0;0;0;0;0;0;2;6;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"imedia";4;3;2;79;0;4;1;12;22;209;11;2;14;0;15;7;36;4;7;40;72;17;1;1
"alliance";0;2;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"catherine";0;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
"lune";0;0;0;0;0;0;0;1;4;0;4;0;1;0;0;0;0;0;0;0;3;0;0;0
"nommer";0;0;1;2;0;0;0;3;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0
"milieu";0;0;0;1;0;0;0;3;1;0;0;0;0;0;1;1;0;0;0;0;0;5;0;0
"participer";2;0;0;2;0;0;2;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0
"seul";0;1;0;5;0;0;1;2;0;4;2;0;0;0;2;1;3;0;0;1;3;3;0;0
"survivre";0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"tamaran";0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mauvais";0;1;0;7;0;0;0;3;1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0
"chef";0;3;0;4;0;0;5;3;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0
"communauté";0;0;6;2;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0
"servir";0;0;0;1;0;0;1;3;1;27;0;0;0;0;0;0;0;0;0;1;5;0;0;0
"appeler";0;1;0;2;0;0;0;2;0;0;1;0;1;0;0;1;0;0;0;0;3;4;0;0
"soucoupe";0;0;0;2;1;0;0;0;3;1;4;0;2;0;5;0;0;0;0;0;0;0;0;0
"interview";0;2;2;5;0;0;23;13;0;0;3;0;0;0;0;34;0;0;0;0;0;7;0;0
"nombre";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;2;0;4;2;0;0
"pizza";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;1;0;0
"rire";0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0
"alexis";0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"survivant";0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"enlever";0;0;0;5;0;0;0;0;0;2;0;0;2;0;3;0;0;0;0;0;0;4;0;0
"responsable";0;0;1;1;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0
"prendre";0;1;0;15;0;0;3;8;5;4;3;0;0;0;5;1;43;2;0;0;2;8;0;0
"livreur";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0
"état";0;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;14;2;0;0
"plaindre";0;0;1;0;0;0;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
"grave";0;1;0;2;0;0;0;0;0;104;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"avouer";0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;6;0;0
"déage";0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"auteur";0;11;0;8;0;0;3;12;1;0;2;0;1;0;2;16;0;0;0;0;0;0;0;0
"bras";0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
"thierry";0;7;14;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0
"bunny";0;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"raid";0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"déclaration";0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
"contact";0;0;0;9;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;12;2;0;0
"the";0;8;0;5;0;0;1;1;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0
"poser";0;0;0;4;0;0;2;2;1;0;5;0;1;0;2;0;0;0;0;0;1;0;0;0
"lci";0;0;13;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
"bord";0;0;0;2;0;0;0;0;8;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0
"connaître";0;3;0;3;0;0;0;10;2;0;2;0;2;0;1;0;0;1;0;0;5;3;0;0
"peupler";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;24;0;0;0;0;0;0;0
"commencer";0;0;1;5;0;4;1;5;0;1;1;0;0;0;1;1;1;2;0;1;2;2;0;0
"occasion";0;1;1;2;0;0;5;5;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0
"sujet";0;1;5;4;0;0;0;6;1;0;5;0;0;0;0;9;0;0;0;0;0;3;0;0
"rentrer";0;0;0;2;0;0;1;3;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0
"zone";0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;1;0;0
"donner";0;2;0;4;0;0;1;7;0;0;2;0;5;1;3;0;0;1;0;0;3;5;0;0
"partager";0;0;0;7;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0
"urgentiste";0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
