"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"maudit";0,58;0,611;0,463;0,574;0,587;0,568;0,316;0,316;0,006;0,109;0,637;0,552;0,502;0,51;0,608;0,47;0,529;0,641
"liste";0,652;0,035;0,23;0,647;0,658;0,641;0,136;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"laurence";0,175;0,12;0,458;0,187;0,162;0,568;0,515;0,515;0,526;0,618;0,637;0,232;0,502;0,329;0,608;0,47;0,529;0,641
"journée";0,58;0,611;0,458;0,187;0,587;0,2;0,515;0,515;0,526;0,618;0,637;0,232;0;0,51;0,608;0,47;0,529;0,641
"janvier";0;0,583;0,422;0,544;0,557;0,537;0,482;0,482;0,494;0,59;0,61;0,521;0,445;0,423;0,579;0,434;0,496;0,615
"horizon";0,58;0,611;0,458;0,574;0,587;0,568;0,515;0,515;0,526;0,618;0,637;0,232;0,502;0;0,608;0,47;0,529;0,641
"h";0,241;0,583;0,572;0,544;0,557;0,272;0,408;0,482;0,494;0,59;0,124;0,31;0,445;0,476;0,579;0,434;0,496;0,615
"gérard";0,175;0,611;0,463;0,574;0;0,568;0,515;0,515;0,526;0,618;0,637;0,552;0,502;0,51;0,608;0,47;0,529;0,641
"glace";0,614;0,073;0,347;0,608;0,62;0;0,553;0,224;0,563;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"exercice";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0,596;0,605;0,684;0,7;0,628;0;0,591;0,675;0,555;0,608;0,704
"eugène";0,58;0,611;0,458;0,574;0,587;0,568;0,515;0,515;0,526;0,618;0,637;0,552;0,502;0,51;0;0,47;0,529;0,641
"enlèvement";0;0,583;0,422;0,544;0,557;0,272;0,482;0,482;0,494;0,59;0,124;0,521;0,468;0,476;0,579;0,434;0,496;0,615
"emmener";0,58;0,611;0,458;0,574;0,587;0,568;0,316;0,316;0,526;0,109;0,637;0;0,502;0,51;0,608;0,47;0,529;0,641
"défense";0,614;0,643;0,498;0,122;0,62;0,602;0,553;0,224;0;0,649;0,667;0,588;0,54;0,548;0,639;0,509;0,566;0,671
"don";0,652;0,678;0,23;0,647;0,658;0,072;0,596;0,596;0,121;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,019
"domaine";0,614;0,643;0,498;0,608;0,62;0,602;0,553;0,224;0;0,649;0,667;0,588;0,54;0,235;0,639;0,509;0,566;0,671
"disparition";0,55;0,583;0,572;0,544;0,557;0,537;0,482;0;0,378;0,59;0,61;0,521;0,468;0,476;0,579;0,434;0,496;0,615
"cuisine";0,58;0,611;0,458;0;0,587;0,2;0,515;0,515;0,526;0,618;0,637;0,232;0,502;0,51;0,608;0,47;0,529;0,641
"crise";0,112;0;0,498;0,608;0,62;0,602;0,553;0,553;0,563;0,649;0,667;0,001;0,54;0,548;0,639;0,509;0,566;0,671
"contacter";0,55;0,583;0,422;0,256;0,226;0,537;0,482;0,482;0,494;0,59;0;0,521;0,468;0,476;0,181;0,434;0,496;0,615
"compte";0,652;0,678;0,545;0,647;0,658;0,072;0,596;0,136;0,121;0,684;0,7;0,628;0,584;0,144;0,675;0,555;0,608;0,704
"civil";0,696;0,72;0;0,691;0,701;0,687;0,646;0,646;0,654;0,725;0,739;0,035;0,635;0,642;0,717;0,609;0,657;0,742
"cinéma";0;0,611;0,458;0,574;0,162;0,568;0,515;0,515;0,526;0,618;0,637;0,552;0,502;0,51;0,608;0,47;0,529;0,641
"christelle";0,55;0,583;0,422;0,544;0,226;0,537;0,482;0,482;0,494;0,59;0,61;0,521;0;0,476;0,579;0,434;0,496;0,615
"chambre";0,652;0,678;0,545;0,647;0,658;0,641;0,136;0,596;0,605;0,684;0;0,628;0,155;0,591;0,675;0,555;0,608;0,704
"carburant";0,652;0,678;0,545;0,647;0,658;0,641;0;0,596;0,605;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"bourret";0,175;0,611;0,458;0,001;0,162;0,568;0,515;0,515;0,526;0,618;0,637;0,003;0,502;0,51;0,608;0,47;0,529;0,641
"ballestrero";0,55;0,583;0,422;0,544;0,226;0,537;0,482;0,482;0,494;0,59;0,61;0,521;0;0,476;0,579;0,434;0,496;0,615
"aubry";0,55;0,583;0,422;0,544;0,557;0,537;0,482;0,482;0,494;0,59;0,61;0,521;0,445;0,476;0;0,434;0,496;0,615
"atterrir";0,652;0,678;0,545;0,647;0,658;0,641;0,596;0;0;0,684;0,7;0,628;0,584;0,591;0,675;0,555;0,608;0,704
"atr";0,58;0,611;0,458;0,187;0,162;0,568;0,316;0,515;0,526;0,618;0;0,552;0,349;0,51;0,608;0,47;0,529;0,641
