"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"tendance";-0,0185;-0,1744;-0,2376;0,9075;-0,0061;-0,0042;-0,2404;1,9361;-0,1641;-1,3912;-0,1959;-0,0039;0,8252;-0,0034;-0,125;-0,3387;2,5266;-0,0414;-0,0235;-0,0767;-0,3889;-0,4173;-0,0074;-0,0041
"sophie";-0,0236;-0,222;-0,3024;-0,2921;-0,0078;-0,0054;-0,306;7,7372;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;1,1801;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"aller";-0,1333;0,2661;-1,0054;0,9351;-0,0438;-0,0303;0,7178;1,089;0,2998;-5,6323;-0,2165;2,7107;3,7902;-0,0243;0,8309;0,7643;-0,2046;0,3045;1,2372;-0,5511;-2,7944;0,6704;-0,053;-0,0298
"perdre";1,148;-0,3013;-0,4104;0,4255;-0,0105;-0,0073;-0,4153;1,1083;0,8741;-2,4031;0,2666;-0,0068;0,6125;-0,0059;1,9131;-0,585;-0,2321;-0,0715;-0,0407;-0,1325;-0,6717;1,163;-0,0127;-0,0072
"affirmer";-0,0388;-0,3647;-0,4968;-0,6185;-0,0128;-0,0088;-0,1628;-0,1708;0,2626;-2,9092;0,2142;-0,0082;-0,1471;-0,0071;0,3448;-0,2784;-0,281;0,7428;5,3274;3,352;0,9988;0,2334;-0,0154;-0,0087
"semaine";-0,0472;3,3952;-0,2195;-1,4841;-0,0155;-0,0107;0,8058;2,0549;0,2091;-3,5418;1,608;-0,01;-0,1791;-0,0086;0,7893;-0,3768;-0,3421;0,6664;2,0776;-0,1952;-0,99;-1,0623;-0,0188;-0,0105
"comédien";-0,0337;-0,3171;-0,432;-1,06;-0,0111;-0,0077;0,5897;1,0411;-0,2984;-2,5296;0,252;-0,0071;-0,1279;-0,0062;-0,2272;2,7651;-0,2444;-0,0753;-0,0428;-0,1394;-0,7071;3,0805;-0,0134;-0,0075
"différent";-0,0253;-0,2378;0,2792;-0,795;1,722;-0,0057;-0,3279;1,4414;0,395;-1,8971;1,6879;-0,0053;-0,0959;-0,0046;-0,1704;-0,1392;-0,1833;-0,0565;-0,0321;1,6348;-0,1738;-0,1944;-0,0101;-0,0056
"extra_terrestre";3,2292;1,2019;-0,9074;1,3365;-0,0233;-0,0161;-0,9182;-0,9657;-0,2343;-0,6366;0,6239;-0,015;1,6304;-0,0129;1,0271;-1,2935;-0,5132;-0,1582;-0,0899;-0,2929;-1,4852;1,2382;-0,0282;-0,0158
"inattendu";-0,0253;-0,2378;-0,324;14,1025;-0,0083;-0,0057;-0,3279;-0,595;-0,2238;-1,8971;-0,2672;-0,0053;-0,0959;-0,0046;-0,1704;-0,4619;-0,1833;-0,0565;-0,0321;-0,1046;-0,5303;-0,569;-0,0101;-0,0056
"monde";-0,38;-1,0387;-2,9732;-1,6957;-0,125;-0,0864;-1,8899;-2,3397;-0,9195;11,9338;0,5284;-0,0802;1,3133;-0,0694;-0,5119;-3,9831;-2,7535;0,5121;-0,4822;1,1553;3,4443;-1,2427;-0,1512;-0,0848
