"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"sujet";0,191;0,154;0,614;-0,696;-0,188;-0,423
"suite";10,211;-0,936;-0,597;-0,696;-0,188;-0,423
"soucoupe";-1,185;-1,249;20,265;-0,929;-0,251;-0,565
"sophie";13,631;-1,249;-0,797;-0,929;-0,251;-0,565
"skier";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"site";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"short";-1,185;-1,249;20,265;-0,929;-0,251;-0,565
"résistance";0,191;-0,936;5,475;-0,696;-0,188;-0,423
"réalité";3,299;-0,936;0,614;-0,696;-0,188;-0,423
"rejoindre";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"regarder";-1,185;5,845;-0,797;0,102;-0,251;-0,565
"recevoir";0,011;-1,249;0,208;2,568;-0,251;-0,565
"rater";-0,888;3,072;0,614;-0,696;-0,188;-0,423
"présenter";3,299;-0,936;0,614;-0,696;-0,188;-0,423
"proibite";-1,185;-1,249;-0,797;-0,929;-0,251;28,591
"philippe";10,211;-0,936;-0,597;-0,696;-0,188;-0,423
"pays";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"pari";1,695;1,536;-0,797;-0,929;-0,251;-0,565
"oyagaelewee";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"ombre";-1,185;0,004;-0,797;2,568;2,663;-0,565
"odyssée";-1,185;5,845;-0,797;0,102;-0,251;-0,565
"objectif";-0,888;3,072;-0,597;0,418;-0,188;-0,423
"ntwitter";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nstan";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nrevolution";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nmontage";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nmaillaud";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nfilm";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nextrait";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nemission";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"ndessin";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"nclip";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"ncensure";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"naliens";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"nactivisme";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"métrage";-0,888;-0,936;0,614;0,418;4,111;-0,423
"moment";0,011;0,004;3,256;-0,929;-0,251;-0,565
"minute";3,299;0,154;-0,597;-0,696;-0,188;-0,423
"manoscritti";-0,888;-0,936;-0,597;-0,696;-0,188;21,418
"lek";-0,888;0,154;0,614;0,418;-0,188;-0,423
"koins";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"junior";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"jt";-1,185;12,932;-0,797;-0,929;-0,251;-0,565
"io";0,191;3,072;-0,597;-0,696;-0,188;-0,423
"interview";0,011;5,845;-0,797;-0,929;-0,251;-0,565
"identifier";-1,185;-1,249;9,942;0,102;-0,251;-0,565
"hl";-0,888;9,688;-0,597;-0,696;-0,188;-0,423
"heure";0,191;-0,936;0,614;-0,696;4,111;-0,423
"hanter";0,191;-0,936;-0,597;4,526;-0,188;-0,423
"h";-1,185;5,845;-0,797;0,102;-0,251;-0,565
"galley";13,631;-1,249;-0,797;-0,929;-0,251;-0,565
