no	de
79149.015	livre (Lunar Park
79149.015	Souvenirs de mon père mort devant la télé)
79149.015	musique
79149.015	album (Robots après tout
79149.015	You could have it so much better)
79149.015	théâtre
79149.015	pièce de théâtre (Viol
79149.015	La Chèvre ou qui est Sylvia ?)
79149.015	série télévisée (Mademoiselle Joubert)
64209.016.025	film
64209.016.025	Duchovny David
53309.023	espace
53309.023	Union européenne
53309.023	enjeu économique
53309.023	technologie
53309.023	télécommunications
53309.023	satellite artificiel
53309.023	média
14005.021	Voulzy Laurent
14005.021	album (Avril)
12320.013.010	Roquefort les Pins
12320.013.010	hôtel (Espace Galaxie)
12320.013.010	extraterrestre
264106.026	mode
264106.026	haute couture
264106.026	maison de couture (Chanel)
264106.026	couturier
264106.026	présentation de mode
264106.026	Lagerfeld Karl
270613.046	média
270613.046	actualité
270613.046	audience-média
270613.046	émission télévisée (Dilemne)
270613.046	concert (RFM party 80)
270613.046	télé réalité
270613.046	producteur audiovisuel
270613.046	Laroche Joubert Alexia
270613.046	concours de beauté (Miss Univers 2010)
261163.041	Toulouse
261163.041	musée (Cité de l'espace)
261163.041	exposition (Extraterrestres êtes vous prêts à la rencontre)
261163.041	jeu vidéo (Devenir vétérinaire)
261163.041	Hong Kong
261163.041	luxe
261163.041	wc
261163.041	environnement
261163.041	campagne d'information (Opération porteur d'eau)
268699.124.008	Grande Bretagne
268699.124.008	histoire
268699.124.008	ovni
268699.124.008	document d'archives
268699.124.008	Churchill Winston
268699.124.008	Eisenhower Dwight David
280467.048	média
280467.048	actualité
280467.048	grossesse
280467.048	notoriété
299633.006	vie politique
299633.006	élection présidentielle (2012)
299633.006	campagne électorale
299633.006	candidat
299633.006	PS-France
299633.006	UMP-France
299633.006	Borloo Jean Louis
299633.006	Hulot Nicolas
228633.017.016	film fantastique
228633.017.016	extraterrestre
228270.017.002	Meurthe et Moselle
228270.017.002	Essey lès Nancy
228270.017.002	nuit
228270.017.002	observation
228270.017.002	ovni
228270.017.002	lumière
228270.017.002	lampion
234271.023	Etats Unis
234271.023	Nevada
234271.023	Las Vegas
234271.023	Californie
234271.023	Los Angeles
234271.023	voyage
234271.023	handicapé
234271.023	ville
234271.023	désert (Mojave)
234271.023	extraterrestre
234271.023	tatouage
1286184.008	Bourret Jean Claude
1286184.008	Praud Pascal
1286184.008	Jakubowicz Alain
1286184.008	Tison Erwann
412006.001	parapsychologie
412006.001	voyance
412006.001	spiritisme
412006.001	fantôme
412006.001	miracle
412006.001	comportement psychologique
120899.001	recherche scientifique
120899.001	innovation scientifique
120899.001	scientifique
120899.001	actualité
234427.001	actualité (évènement)
234427.001	notoriété
234427.001	rétrospective
234427.001	humoriste
