no	de
6057628.001.006	République fédérale d'Allemagne
6057628.001.006	vie politique
6057628.001.006	carrière professionnelle
6057628.001.006	comportement psychologique
6057628.001.006	chef d'Etat
6057628.001.006	CDU-RFA
6057628.001.006	Merkel Angela
CAA94044191	Etats Unis
CAA94044191	cinéma
CAA94044191	metteur en scène
CAA94044191	Weir Peter
CAA94044191	Bridges Jeff
CAA94044191	Rossellini Isabella
CAA94044191	interview
CAA94044191	film (état second)
7889474.001.018	portrait
7889474.001.018	identité
7889474.001.018	Etats Unis
7889474.001.018	France
648673.001.024	Etats Unis
648673.001.024	San Diego
648673.001.024	secte (Uranius)
648673.001.024	extraterrestre
648673.001.024	adepte
648673.001.024	société
3312137.001.031	recherche scientifique
3312137.001.031	Cnes
3312137.001.031	ovni
3312726.001.023	société
3312726.001.023	espace
3312726.001.023	Cnes
3312726.001.023	site internet
3312726.001.023	document d'archives
3312726.001.023	ovni
5652117.001.002	Grande Bretagne
5652117.001.002	décès
5652117.001.002	cancer
5652117.001.002	chanteur
5652117.001.002	Bowie David
376637.001.016	interview
376637.001.016	yachting
376637.001.016	course au large (TRANSAT QUEBEC-SAINT MALO
376637.001.016	OFF)
376637.001.016	arrivée
376637.001.016	vainqueur
376637.001.016	trimaran (FUJICOLOR II
376637.001.016	OFF)
376637.001.016	joie
5096045.001.014	espace
5096045.001.014	sonde spatiale (Voyager)
5096045.001.014	système solaire
5096045.001.014	extraterrestre
7723441.001.028	Dubaï
7723441.001.028	vente aux enchères
7723441.001.028	salle des ventes
7723441.001.028	diamant (Enigma)
7723441.001.028	entreprise (Sotheby's)
3533849.001.003	Réunion-département
3533849.001.003	L'Etang Salé
3533849.001.003	ovni
8149410.001.004	Argentine
8149410.001.004	Buenos Aires
8148917.001.012	Landes
8148917.001.012	armée
8148917.001.012	missile
8148917.001.012	tir d'arme
8148917.001.012	lumière
8148917.001.012	témoignage
8148917.001.012	ovni
BX00001346450	maladie
BX00001346450	association
BX00001346450	secte
BX00001346450	témoignage
BX00001346450	enfant
BX00001346450	psychothérapie
BX00001347892	diffamation
BX00001347892	secte
TL00001336528	Cnes
TL00001336528	fermeture
TL00001336528	entreprise (sepra
TL00001336528	service d'expertise du phénomène de la rentrée dans l'atmosphère)
LL00001304297	météorite
LL00001304297	extraterrestre
LL00001304297	ovni
BE00001262732	spectacle
BE00001262732	réveillon
BE00001262732	nouvel an
RO00001271675	spectacle de rue
RE00001273147	bébé
RE00001273147	Boisselier Brigitte
RE00001273147	expérience scientifique
RE00001273147	habitant
RE00001273147	clonage
RE00001273147	éthique
RE00001273147	naissance
RE00001273147	recherche médicale
RE00001273147	réaction
RE00001273147	secte
LL00001282727	court métrage
LL00001282727	DAO
LL00001282727	dessin animé
NI00001265108	secte
NI00001265108	réunion
NI00001265108	extraterrestre
LL00001308798	météorite
LL00001308798	astre
LL00001308798	recherche scientifique
LL00001308798	extraterrestre
NY00001322346	création artistique
NY00001322346	décoration-habitat
NY00001322346	Noël
NY00001322346	boule
NY00001322346	cristallerie
NY00001322346	verrerie
AJ00001353346	festival
AJ00001353346	spectacle
AJ00001353346	guitare
TL00001338584	peinture-art
TL00001338584	exposition
ST00001302805	ovni
ST00001302805	dîner
TL00001343233	association
TL00001343233	témoignage
TL00001343233	réunion
TL00001343233	ovni
RN00001318171	exposition
RN00001318171	portrait
RN00001318171	photographie
CN00001332542	bande dessinée
CN00001332542	artiste
CN00001332542	livre
DJ00001278893	salon
DJ00001278893	livre
DJ00001278893	roman policier
DJ00001278893	dessinateur
NA00001278284	témoignage
NA00001278284	ovni
NA00001278284	enquête d'investigation
NA00001278284	table ronde
PO00001272295	parc d'attractions
DJ00001279444	météorite
DJ00001279444	ovni
DJ00001279444	témoignage
DJ00001279444	astronomie
ST00001275957	record
ST00001275957	légume
LM00001331301	bateau
LM00001331301	expérience scientifique
LM00001331301	iceberg
LM00001331301	froid
LM00001331301	chercheur
LM00001331301	station météorologique
LM00001331301	expérimentation
LM00001331301	astronomie
LM00001331301	paysage polaire
LM00001331301	raid
LM00001331301	voyage
LL00001320252	extraterrestre
LL00001320252	garde barrière
LL00001315374	femme
LL00001315374	arbitre
LL00001315374	football
BR00001399986	ovni
BR00001399986	extraterrestre
LL00001314343	rétrospective
LL00001314343	météorite
LL00001314343	ovni
LL00001314343	éleveur
LL00001314343	Père Noël
LL00001314343	rue
LL00001314343	boucherie
LL00001314343	collection
LL00001314343	poule
NY00001323732	Joffre Joseph
NY00001323732	biographie
NY00001323732	famille recomposée
NY00001323732	livre
ST00001304542	témoignage
ST00001304542	ovni
TL00001349845	laboratoire
TL00001349845	ovni
DJ00001299951	syndicat
LL00001337858	cosmonaute
LL00001337858	collectionneur
LL00001337858	extraterrestre
LL00001337858	engin planétaire
LL00001337858	simulateur de vol
LL00001337858	recherche scientifique
LL00001337858	espace
LL00001336603	recherche scientifique
LL00001336603	comète
LL00001336603	étoile
LL00001336603	université
BE00001311764	grand ensemble
BE00001311764	littérature
BE00001311764	roman
BE00001311764	écrivain
MA00001414731	plongée en apnée
PO00001317867	humour
PO00001317867	astrologie
ST00001331101	exposition
ST00001331101	sculpture
GR00001297545	paralysie
GR00001297545	handicapé
GR00001297545	pièce de théâtre
GR00001297545	théâtre
RS00001300799	extraterrestre
RS00001300799	colloque
RS00001300799	congrès
RS00001300799	ovni
RBC10003230	salle de spectacle
RBC10003230	public
RBC10003230	concert
RE00001303718	extraterrestre
RE00001303718	ovni
RE00001303718	passion
RE00001303718	enquête d'investigation
RE00001303718	témoignage
TL00001360663	espace
NY00001336662	ovni
NY00001337591	météorite
AM00001291317	extraterrestre
AM00001291317	émission télévisée
AM00001291317	dessin animé
AM00001291317	dessinateur
RN00001399928	extraterrestre
RN00001399928	ovni
PO00001306417	artiste
PO00001306417	sculpteur
PO00001306417	portrait
RN00001261010	carnaval
RN00001261010	Mardi gras
NI00001245428	ovni
NI00001245428	écologie
NI00001245428	tourisme
NI00001245428	invention
REC9608047274	émission télévisée (nuit des étoiles)
REC9608047274	astronomie
REC9608047274	conférence
REC9608047274	incendie
REC9608047274	observation
REC9608047274	entrepôt
REC9608047274	cinéma
REC9608047274	exposition
STC9608061828	météorite
STC9608061828	dessin
REC9610037731	réunion
REC9610037731	ovni
REC9610037731	conférence
REC9610037731	permis de construire
REC9610037731	préfet
REC9610037731	opposition
REC9610037731	ministère (Ministere de L'interieur)
REC9610037731	département
REC9610037731	hameau
REC9610037731	confirmation
REC9610037731	annulation
REC9610037731	commune
REC9610037731	objet
REC9610037731	refus
REC9610037731	tribunal administratif
REC9610037731	maison
LXC07087008	astronomie
LXC07087008	ovni
LM00001242452	ovni
LM00001242452	extraterrestre
LM00001242452	météorologie
LM00001242452	orage
LM00001242452	agriculture
LM00001242452	vignoble
LM00001242452	musique
LM00001242452	mathématique
LM00001242452	accident
MOC9601014355	carburant
MOC9601014355	ovni
MOC9601014355	industrie textile
MOC9601014355	football
MOC9601014355	sport
MOC9601014355	grève (routiers)
GRC9611110344	ovni
GRC9611110344	congrès
LXC05050206	astronomie
LXC05050206	ovni
SXC07046756	accident
SXC07046756	météorologie
SXC07046756	orage
SXC07046756	musique
SXC07046756	mathématique
SXC07046756	ovni
SXC07046756	extraterrestre
SXC07046756	agriculture
SXC07046756	vignoble
MAC9612140875	météorologie
MAC9612140875	orage
MAC9612140875	accident
MAC9612140875	ovni
MAC9612140875	agriculture
MAC9612140875	musique
MAC9612140875	mathématique
MAC9612140875	vignoble
MAC9701061389	rap
MAC9701061389	disque compact (enregistrement)
MAC9701061389	coopération (France. Norvège)
BXC9702064334	ovni
BXC9702064334	Saint Michel Escalus
BXC9702064334	Landes
TLC9701012936	Tarn et Garonne
TLC9701012936	Midi Pyrénées
TLC9701012936	science
TLC9701012936	astronomie
BXC9703034581	sport
BXC9703034581	Parlier Yves
BXC9703034581	plateau de tournage
BXC9703034581	yachting
BXC9703034581	course au large (Venée Globe Challenge)
BXC9703034581	course au large (autour du monde)
LYC9611089780	exposition
LYC9611129802	astronomie
LYC9611129802	ovni
RNC9611192694	accident
RNC9611192694	extraterrestre
RNC9611192694	météorologie
RNC9611192694	orage
RNC9611192694	musique
RNC9611192694	mathématique
RNC9611192694	ovni
RNC9611192694	agriculture
RNC9611192694	vignoble
RBC08024029	ovni
BXC9702084336	météorite
BXC9702084336	satellite artificiel
BXC9702084336	ovni
BXC9702084336	observation
BXC9702084336	Lot et Garonne
MOC9701030549	grève
MOC9701030549	licenciement
MOC9701030549	sport
MOC9701030549	football
MOC9701030549	tennis
MOC9701030549	tournoi
MOC9701030549	société
MOC9701030549	ovni
MOC9701030549	exposition
MOC9701030549	congé (maternité)
MOC9701030549	équipe (Toulon)
MOC9701030549	art (sacré)
MOC9701030549	journal (local)
MOC9701030549	agent municipal
LM00001242412	lumière
LM00001242412	col de montagne
LM00001242412	ovni
LLC9706273973	escroquerie
LLC9706273973	secte
LLC9706273973	religion
LLC9706273973	Delporte Charline
TLC9701013306	Toulouse
TLC9701013306	Haute Garonne
TLC9701013306	science
TLC9701013306	espace
TLC9706263378	Midi Pyrénées
TLC9706263378	Tarn et Garonne
TLC9706263378	société
TLC9706263378	astronomie
TLC9706263378	ovni
RAC18000982	lumière
RAC18000982	col de montagne
RAC18000982	ovni
RAC18000982	Vence
LXC07100928	ovni
LXC07100928	anniversaire (cinquante)
LYC9706252104	ovni
LYC9706252104	anniversaire (cinquante)
BXC9608162589	société
BXC9608162589	anniversaire
BXC9608162589	construction
BXC9608162589	ovni
BXC9608162589	Arès
BXC9608162589	Gironde
BXC9608162589	piste d'aviation
BXC9509154102	image insolite
BXC9509154102	ovni
BXC9509154102	témoignage
BXC9509154102	Notre Dame de Sanilhac
BXC9509154102	Dordogne
TLC9510094319	Toulouse
TLC9510094319	Haute Garonne
TLC9510094319	espace
TLC9510094319	Cnes
TLC9510094319	science
TLC9510094319	astronomie
POC9605272774	secte
POC9605272774	conférence
POC9605272774	parc d'attractions
POC9605272774	racisme
CN00001293708	foire
CN00001293708	pomme
CN00001293708	fête
RE00001244571	ovni
RE00001244571	soleil
RE00001244571	astronomie
RE00001244571	éclipse
RE00001244571	prévision
RE00001244571	astrologie
TL00001255469	société
TL00001255469	extraterrestre
TL00001255469	secte
TL00001255469	croyance
GR00001234888	ovni
GR00001234894	gendarmerie
GR00001234894	enquête d'investigation
GR00001234894	Cnes
GR00001234894	ovni
ST00001231064	ovni
LY00001245943	ovni
TL00001256069	Cnes
TL00001256069	fait divers
TL00001256069	science
TL00001256069	image insolite
TL00001256069	ovni
TL00001256069	astronomie
ST00001230647	ovni
REC9601125278	campagne
REC9601125278	conflit social
REC9601125278	appel à témoin
REC9601125278	Banque de France
REC9601125278	information
REC9601125278	ovni
REC9601125278	entreprise (maison de Champagne)
REC9601125278	grève
REC9601125278	ciel
BXC9512130061	extraterrestre
BXC9512130061	ovni
BXC9512130061	Ribérac
BXC9512130061	Dordogne
LMC9503070429	ovni
LMC9503070429	Creuse
LMC9503070429	Faux Mazuras
LMC9503070429	rue
LMC9503070429	boîte de nuit
TLC9510094314	Toulouse
TLC9510094314	Haute Garonne
TLC9510094314	espace
TLC9510094314	Cnes
TLC9510094314	science
TLC9510094314	astronomie
TLC9401013286	Toulouse
TLC9401013286	Haute Garonne
TLC9401013286	Montpellier
TLC9401013286	Hérault
TLC9401013286	Foix
TLC9401013286	Ariège
TLC9401013286	Rodez
TLC9401013286	Aveyron
TLC9401013286	Cahors
TLC9401013286	Lot
TLC9401013286	urbanisme
TLC9401013286	théâtre
BXC9406264830	littérature
BXC9406264830	espace
BXC9406264830	ovni
BXC9406264830	portrait
BXC9406264830	écrivain
BXC9406264830	journaliste
NS00001364162	Haïti
NS00001364162	solidarité
NS00001364162	peinture-art
NS00001364162	exposition
NS00001364162	figue
NS00001364162	effets spéciaux
NS00001364162	festival
NS00001364162	Cévennes
NS00001364162	randonnée
MR00001366961	rap
MR00001366961	groupe musical
LE00001354696	improvisation
LE00001354696	danse contemporaine
LE00001354696	site internet
LE00001354696	chorégraphie
LE00001354696	chorégraphe
ST00001336005	athlétisme
ST00001336005	sport
LL00001359940	victoire
LL00001359940	équipe (Valenciennes Football Club)
LL00001359940	championnat de France
LL00001359940	football
ST00001340274	langue
ST00001340274	mot
ST00001340274	spectacle
ST00001340274	musique
LL00001357661	pharmacie
LL00001357661	médicament
LL00001357661	robot
NI00001328965	triathlon
LL00001353550	best of
ST00001338494	ovni
ST00001338494	association
ST00001338494	Internet
ST00001338494	Cnes
TL00001389167	astrophysique
TL00001389167	sciences de l'univers
TL00001389167	base de données
TL00001389167	Internet
TL00001389167	ovni
TL00001389167	Cnes (GEPAN)
10008.011.008	ovni (cropcircle)
10008.011.008	extraterrestre
10008.011.008	Verdun sur le Doubs
10008.011.008	blé
10008.011.008	champ
2139.006.004	esthéticienne
2139.006.004	agression
2139.006.004	procès
2139.006.004	Saint Quentin-Aisne
2139.006.004	Laon
2239.004.003	skipper
2239.004.003	Parlier Yves
2239.004.003	Arcachon
2239.004.003	course au large
2239.004.003	carrière professionnelle
10889.008.004	blé
10889.008.004	champ
10889.008.004	création artistique
10889.008.004	dessin
10889.008.004	ovni (crop circle)
10889.008.004	extraterrestre
10889.008.004	Sarraltroff
13436.009.006	anniversaire
13436.009.006	automobile (Smart)
13436.009.006	industrie automobile
13436.009.006	Hambach
14670.013.003	ovni
14670.013.003	Nice
11641.008.003	champ
11641.008.003	ésotérisme
11641.008.003	surnaturel
11641.008.003	Valence-Drôme
TL00001393844	transport spatial
LM00001359675	euro
LM00001359675	vaccination
LM00001359675	édition
LM00001359675	ovni
LM00001359675	pomme
RE00001330925	Cnes
RE00001330925	site internet
RE00001330925	ovni
RE00001330925	Lemaire Jean Luc
LM00001361297	forêt
LM00001361297	ovni
LM00001361297	site internet
LM00001361297	Cnes
NY00001366835	extraterrestre
NY00001366835	champ
NY00001366835	dessin
NY00001366835	plainte
MA00001437834	chien
MA00001437834	compétition
AM00001323257	film
AM00001323257	comédie
RCC11012070	film
RCC11012070	comédie
MO00001374363	exposition
MO00001374363	ovni
RO00001424676	recherche scientifique
RO00001424676	plus value
RO00001424676	vente
RO00001424676	notaire
RO00001424676	bois
RO00001424676	jouet
RO00001424676	fabrication
RO00001424676	entreprise
RO00001424676	père
RO00001424676	fête
RO00001424676	jardinage
RO00001424676	chien
RO00001424676	voyage
RO00001424676	guide-livre
RO00001424676	observation
TL00001393246	livre
TL00001393246	ovni
NY00001370640	photo
NY00001370640	rassemblement
NY00001370640	montgolfière
NY00001370640	ovni
AM00001330565	tournage
AM00001330565	film
AM00001330565	science fiction
BX00001442042	ovni
BX00001442042	champignon
BX00001442042	jardin
BX00001442042	surnaturel
LM00001367031	ovni
LM00001367031	météorologue
LM00001367031	scientifique
LM00001367031	témoin
BX00001441939	ovni
BX00001441939	champignon
BX00001441939	oeuf
BX00001441939	jardin
LM00001367032	témoin
LM00001367032	gendarmerie
LM00001367032	météorologue
LM00001367032	ovni
LM00001367032	scientifique
LM00001367032	Cnes
NI00001342710	astronome
NI00001342710	ovni
NI00001342710	lumière
NI00001342687	extraterrestre
NI00001342687	ovni
NY00001374082	maison
NY00001374082	bébé
NY00001374082	parent
NY00001374082	maternité
NY00001374082	naissance
NY00001374082	association
3771.003.007	dessinateur
3771.003.007	bande dessinée
3771.003.007	Amiens
5177.003.006	musique
5177.003.006	disque jockey
5177.003.006	swing-jazz
5177.003.006	danse de rue
4073.009.002	campagne électorale
4073.009.002	élection municipale
4073.009.002	Lille
4073.009.002	candidat
PO00001339369	musicien
PO00001339369	guitare
1191.008.007	secours
1191.008.007	CRS
1191.008.007	organisation
1191.008.007	Modane
4937.019.001	communauté
4937.019.001	mobilité géographique
4937.019.001	dialecte
4937.019.001	patrimoine
4937.019.001	film
4937.019.001	cinéma
4937.019.001	Boon Dany
4937.019.001	Cannes
8683.004.001	groupe musical
8683.004.001	concert
8683.004.001	salle de spectacle
8683.004.001	Paris
6271.010.002	rugby
6271.010.002	dopage
6271.010.002	rugbyman
6271.010.002	livre (La mêlée)
6271.010.002	navigation en solitaire
6271.010.002	skipper
20415.006.001	ovni
20415.006.001	Foix
22174.007.003	ovni
22174.007.003	météorologie
22174.007.003	planète
22174.007.003	vidéo
22174.007.003	Limoges
16085.010.002	pièce de théâtre
16085.010.002	troupe théâtrale
16085.010.002	festival
16085.010.002	métier
16085.010.002	artisanat
16085.010.002	artisan
16085.010.002	journée portes ouvertes
16085.010.002	disco
16085.010.002	goût
16085.010.002	gastronomie
16085.010.002	pédagogie
16085.010.002	extraterrestre
16085.010.002	concert
16085.010.002	exposition
16085.010.002	conférence
16085.010.002	jazz
16085.010.002	Bretagne
PO00001339806	technologie
PO00001339806	bilan comptable
PO00001339806	innovation scientifique
PO00001339806	parc d'attractions
PO00001339806	anniversaire
NY00001294695	champ
NY00001294695	blé
NY00001294695	ovni
NY00001294695	création artistique
NY00001294695	land art
POC9701020674	ovni (soucoupe)
POC9701020674	Germignac (Charente-Maritime / 17)
MA00001273269	ciel
MA00001273269	planète Vénus
MA00001273269	lumière
NI00001246298	ciel
NI00001246298	syndicat
NI00001246298	grève
NI00001246298	optique
NI00001246298	astre
NI00001246298	gardien de prison
NI00001246298	emploi
NI00001246298	armée de terre
LY00001252178	écrivain
LY00001252178	enfant
LY00001252178	conte
LY00001252178	livre
LY00001252178	enseignement primaire
TL00001313084	ovni
TL00001313084	météorite
TL00001313084	témoignage
TL00001313084	Cnes
MO00001299308	ovni
MO00001299308	planétarium
MO00001299308	animation socioculturelle
RO00001329176	championnat d'Europe
RO00001329176	match
RO00001329176	préparatifs
RO00001329176	boxe
RO00001329176	Djelti Affif
LY00001279447	adepte
LY00001279447	condamnation
LY00001279447	pédophilie
LY00001279447	secte
LY00001279447	cour d'appel
LY00001279447	procès
BX00001318956	foire
TL00001350083	théâtre
PO00001303369	recherche scientifique
PO00001303369	émission télévisée
PO00001303369	Pôle Sud
PO00001303369	expédition
PO00001303369	Antarctique
BE00001295792	artisan
BE00001295792	salon
BE00001295792	entreprise
BE00001295792	lunettes
BE00001295792	industrie
BE00001295792	concurrence
NY00001364127	ovni
NY00001364127	recherche scientifique
NY00001364127	Internet
NY00001364127	Cnes
LL00001376507	concert
LL00001376507	musique
LL00001376507	rap
LL00001376507	Kamini-chanteur
LM00001367257	scientifique
LM00001367257	témoin
LM00001367257	ovni
LL00001371981	auteur
LL00001371981	géométrie
LL00001371981	architecte
LL00001371981	recherche scientifique
LL00001371981	champ
LL00001371981	extraterrestre
LL00001371981	surnaturel
LL00001371981	livre
GR00001305199	astrophysique
GR00001305199	découverte
GR00001305199	planète
NA00001370475	enquête de police
NA00001370475	étoile
NA00001370475	ovni
NI00001326325	aéroport
NI00001326325	ovni
AL00001380416	ovni
NI00001324216	DVD ROM
NI00001324216	ovni
LL00001346416	tourisme
LL00001346416	architecture
LL00001346416	art contemporain
LL00001346416	maison individuelle
NA00001358380	natation
NA00001358380	championnat de France
NA00001358380	Crédeville Cloé
TL00001390019	énergie
TL00001390019	découverte
TL00001390019	gravité
TL00001390019	astrophysique
RO00001407176	spectacle de rue
NY00001361745	ovni
NY00001361745	extraterrestre
RO00001437930	vannerie
RO00001437930	automate
RO00001437930	artisanat d'art
RO00001437930	ovni
RO00001437930	retraite
RO00001437930	rosier
RO00001437930	jardinage
RO00001437930	livre
RCC02017085	ovni
ROC9007210296	cratère
ROC9007210296	ovni
MSC9004052982	Touraine
MSC9004052982	invention
MSC9004052982	Inpi
MSC9004052982	Académie des Sciences
MSC9004052982	ovni
RBC07066341	magazine
TL00001279805	société
TL00001279805	religion
TL00001279805	PS-France
GRC9607099321	Annecy
GRC9607099321	secte (Raël)
GRC9607099321	extraterrestre
GRC9607099321	conférence
RBC08090533	extraterrestre
MO00001266906	extraterrestre
TL00001298821	procès
TL00001298821	meurtrier
TL00001298821	Alègre Patrice
TL00001298821	expert
TL00001298821	psychiatre
31720.006.002	téléfilm
31720.006.002	TF1
31720.006.002	Noyers-Yonne
30618.007.006	pipe
30618.007.006	artisanat
30618.007.006	création d'entreprise
30618.007.006	Saint Claude-Jura
31900.013.002	ovni
31900.013.002	Essey lès Nancy
33593.006.003	science fiction
33593.006.003	littérature
33593.006.003	ésotérisme
33593.006.003	ovni
33593.006.003	Nice
27757.009.009	fait divers
27757.009.009	extraterrestre
27757.009.009	champ
27757.009.009	Verdun sur le Doubs
28171.009.011	cinéma
28171.009.011	festival
28171.009.011	court métrage
28171.009.011	Louviers
24334.004.008	musique
24334.004.008	groupe musical
24334.004.008	funk
34304.007.006	pièce de théâtre
34304.007.006	association
34304.007.006	oeuvre de bienfaisance
34304.007.006	solidarité
34304.007.006	Lille
2542025.001	festival
2542025.001	concert
2542025.001	musique traditionnelle
2542025.001	théâtre
2542025.001	improvisation
2542025.001	salle de spectacle
2542025.001	centre culturel
2542025.001	chanteur
2542025.001	rap
2542025.001	langue régionale
2542025.001	technique musicale
2542025.001	cornemuse
2542025.001	musicien
2542025.001	Molard Patrick
2775940.001.042	dessin animé
2775940.001.042	succès
2775940.001.042	série télévisée
2744575.001.001	ovni
2744575.001.001	fantôme
1169607.001.008	champ
1169607.001.008	tournesol
1169607.001.008	dessin
1169607.001.008	publicité
1169607.001.008	radio
1301446.001.014	volley ball
1301446.001.014	match
1301446.001.014	championnat de France
1301446.001.014	défaite
1301446.001.014	Rennes
1301591.001.014	économie
1301591.001.014	grande école
1304019.001.031	spectacle de rue
1304019.001.031	arts plastiques
1304019.001.031	météorite
1304019.001.031	extraterrestre
1293186.001.008	vol libre (kite surf)
1293186.001.008	handicap physique
1293186.001.008	handicapé
1293186.001.008	record
1293186.001.008	vitesse
1293186.001.008	handisport
1896692.001.025	trompettiste
1896692.001.025	musicien
3527503.001.002	péniche
3527503.001.002	chantier de construction
2787479.001.001	livre
2787479.001.001	prévention
2787479.001.001	drogue
2787479.001.001	découverte
2787479.001.001	ovni
2787479.001.001	association
2787479.001.001	solidarité
29736.006.002	ovni
29736.006.002	observation
29736.006.002	témoignage
29736.006.002	Aiglemont
3189726.001.032	cross country
3191052.001.002	histoire
3191052.001.002	Corse
VDO21270029	surnaturel (paranormal)
VDO21270029	ovni
VDO21270029	surnaturel
PAC00009394	festival (la semaine des cahiers du cinéma)
PAC00009394	festival (d'automne du cinéma)
PAC00009394	film (E.T. l'extra-terrestre)
PAC00009394	cinéma
ORC87013022	observatoire
ORC87013022	Nançay
VDO19008905	interview
VDO19008905	Raël
PAC9308040901	ovni
PAC9308040901	Seine et Marne
VDO16068019	peinture-art
VDO16068019	sculpture
VDO16068019	textile (tapa)
VDO16068019	écriture (petroglyphe)
VDO16068019	légende
PAC9307210813	Itteville
PAC9307210813	ovni
PAC9307210813	Essonne
PAC9307210813	culture agricole
VDO21245903	document d'archives
VDO21245903	ovni
VDO19015589	témoin
VDO19015589	ovni
ORC9011124794	ciel
ORC9011124794	ovni
ORC9011124794	dossier
VDO16056054	nacre (Nacres Jades)
VDO16056054	exposition (nacre)
VDO16056054	Deschamps Bernard
VDO16056054	Chaubet Serge
VDO16056054	Flanders Roger
VDO16056054	poème
VDO16056054	poésie
VDO16056054	handicapé
VDO16056054	mode
VDO16056054	ovni
VDO16056054	Pujot Jean Louis
ORC9011074756	astronomie
VDO16055150	film (Un poisson nommé Wanda)
VDO16055150	livre (livres enfants)
VDO16055150	maison (maisons calédoniennes)
VDO16055150	livre
VDO16055150	parachutisme
VDO16055150	Richie Lionel
VDO16055150	John Elton
VDO16055150	Angleviel Frédéric
VDO16054977	"livre (""Le temps un regard"")"
VDO16054977	Batman
VDO16054977	Couste Raymond
VDO16054977	Perrier Gérard
VDO16054977	Sanvoisin Michel
VDO16054977	Faessel Pierre
PAC03014917	livre (enquête sur les enlèvements extra terrestres)
PAC03014917	voyance
5489295.001.001	sous marin
5489295.001.001	naufrage
5489295.001.001	marine
5489295.001.001	deuil
5489295.001.001	témoignage
5489295.001.001	famille
5489295.001.001	marin
6110857.001.001	luthier
6110857.001.001	guitare
6110857.001.001	musique
6110857.001.001	musicien
VDO21309065	VTT
VDO21309065	bicyclette
PA00001375956	exposition
PA00001375956	extraterrestre
PA00001376123	livre
PA00001376123	lecture
PA00001376123	enfant
PA00001376123	salon
PA00001376123	bande dessinée
VDO21319072	ovni
VDO21319072	boule (Boule lumineuse Ciel)
PA00001382660	univers
PA00001382660	recherche scientifique
PA00001382660	espace
PA00001382660	extraterrestre
OL00001362882	exposition
OL00001362882	ovni
OL00001362882	médiathèque
OL00001362882	anniversaire
PA00001381816	Cnes
PA00001381816	site internet
PA00001381816	ovni
PA00001381822	ovni
PA00001381822	univers
PA00001381822	extraterrestre
PA00001381822	témoignage
PA00001381822	Cnes
OR00001351155	groupe musical
ORC9712260375	décoration-habitat
ORC9712260375	village
ORC9712260375	Noël
ORC9712260375	Nançay
PAC9711123265	communauté (Japonaise)
PAC9711123265	Japonais
PAC9711123265	vie quotidienne
PAC9711123265	intégration
PAC9711123265	centre culturel (Espace Japon)
PAC9711123265	maison de la culture (du Japon)
PAC9711123265	golf
PAC9711123265	tourisme
VDO21250000	objet (Objet volant non identifié)
VDO21250000	ovni
VDO21185791	télévision
VDO21185791	ésotérisme
VDO21185791	ovni
VDO21185791	journal télévisé
VDO21185791	anniversaire (40e anniversaire)
VDO21185791	surnaturel (paranormal)
PA00001345106	dîner
PA00001345106	réunion
PA00001345106	ovni
PA00001345106	amateur
OR00001324502	enfant
OR00001324502	école maternelle
OR00001324502	école primaire
OR00001324502	carnaval
PA00001339141	artiste
PA00001339141	science fiction
PA00001339141	film (Alien
PA00001339141	le huitième passager)
PA00001339141	Scott Ridley
VDO21156783	ovni
PAC03017168	livre (le cheval Vartan)
PAC03017168	vidéoclip (trois femmes de trop)
PAC03017168	livre (Ovnis 1999
PAC03017168	le contact ?)
PAC03017168	chanson (beau comme un garçon)
PAC03017168	chanson (ah ça vraiment)
PAC03017168	pièce de théâtre (3 femmes de trop)
VDO21248802	économie
VDO21248802	euro
VDO21248802	vacances
VDO21248802	loisir
VDO21248802	jeunesse (jeunes)
RAC03011306	ovni
RAC03005823	science
RAC03005823	extraterrestre
LXC02040416	ovni
LXC02040416	extraterrestre
RAC07058807	édition
RAC07058807	ovni
RAC07058807	image insolite
RAC01008724	extraterrestre
RAC01008724	ovni
DXC9809292218	extraterrestre
DXC9809292218	témoignage
RAC03007628	livre
RAC03007628	extraterrestre
RAC03009464	extraterrestre
LXC02034939	ovni
LXC02034939	extraterrestre
RAC03009450	extraterrestre
CN00001292406	espionnage
CN00001292406	Soviétique
CN00001292406	météorite
CN00001292406	ovni
RAC03019325	ovni
RAC03019325	espace
RAC03019325	Cnes (GEPAN)
RAC01002051	film
RAC01002051	cinéma
RAC01002051	Spielberg Steven
RAC01002051	enfant
RAC01002051	science fiction
RAC01002051	extraterrestre
DXC9711127706	image insolite
DXC9711127706	extraterrestre
DXC9711127706	film (E.T. l'extra-terrestre)
DXC9711127706	microtrottoir
CN00001292397	météorite
BEC8903100631	livre (Silence au point d'eau)
BEC8903100631	extraterrestre
BEC8903100631	univers
RAC8909071424	musique
RAC8909071424	variétés
REC8906213634	colloque
REC8906213634	entreprise
REC8906213634	atelier
REC8906213634	Lesieur
REC8906213634	mécanicien
REC8906213634	vidéoclip
REC8906213634	musique
REC8906213634	cinéma
REC8906213634	biocarburant
REC8906213634	accord
REC8906213634	bébé
REC8906213634	corps
REC8906213634	cadavre
REC8906213634	médaille (médaille de bronze)
REC8906213634	qualité
REC8906213634	vin
REC8906213634	prix
REC8906213634	entreprise (maison de Champagne)
REC8906213634	agriculture
REC8906213634	révolution
REC8906213634	vidéo
REC8906213634	extraterrestre
REC8906213634	conjoint
REC8906213634	mouche
CLC8907222644	film (après la guerre)
