"";"*baseid_SA";"*baseid_TV"
"nouvelle";13;12
"vite";6;6
"mettre";10;33
"autre";11;17
"jeune";43;50
"construire";11;6
"réal";0;11
"émission";50;54
"coeur";7;10
"claude";15;12
"présidentiel";9;5
"photo";7;5
"boulot";57;0
"transformer";4;11
"frontière";4;9
"candidat";12;4
"alien";10;4
"jean";44;44
"proposer";3;20
"fête";2;8
"vérité";5;6
"manquer";81;6
"enfin";6;9
"2999";42;1
"bande";3;14
"59";21;0
"58";14;0
"55";21;3
"54";26;0
"56";18;0
"51";17;3
"50";25;8
"53";14;1
"52";18;3
"57";14;3
"humanité";24;25
"gouvernement";20;5
"plus";95;100
"entrepreneur";11;0
"exister";13;5
"hugues";14;0
"voisin";2;10
"peret";0;10
"ne";249;135
"actuel";10;5
"retour";32;19
"valentin";14;5
"cnews";24;0
"groupe";4;19
"entier";21;2
"langlois";14;0
"bill";0;19
"frédéric";9;16
"boucher";10;0
"figure";85;1
"haut";19;4
"antoine";21;6
"1";23;10
"rapport";8;3
"réponse";5;10
"oeuf";5;5
"apporter";6;5
"place";4;8
"gotham";81;0
"animation";81;1
"république";3;7
"chanteur";9;7
"espoir";0;11
"trop";4;13
"chaque";7;9
"20";118;67
"21";69;5
"didier";1;18
"concernant";6;4
"parfois";2;9
"devoir";23;46
"récupérer";0;11
"départ";45;6
"curieux";26;9
"patrick";3;12
"où";19;30
"réussir";2;8
"décontraction";81;0
"bellver";48;0
"ou";29;67
"celui";2;11
"lemercier";0;11
"alain";0;11
"samedi";2;9
"phénomène";15;22
"5";3;12
"catastrophe";3;10
"endroit";6;8
"péril";104;0
"lisa";0;10
"programme";7;8
"île";82;6
"sur";484;342
"grâce";84;17
"prochain";4;8
"enfant";12;43
"vaisseau";12;28
"profiter";1;9
"différents";4;11
"emmanuel";10;6
"mission";3;15
"style";5;5
"manière";2;19
"bout";2;9
