"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"seulement";0;0;0;0;0;0;0;0;0;0;0;0;3,82;0;0;0,94;0,23;0;0;0;0;0;0;0;0,55;0;0;0
"ceux";0;0;0;0;0;0;0;0;8,33;0;0;0;0;0;0,25;0,47;0;0;0,47;0,72;0;0;0;0,58;0;0,12;0;0
"former";0;0;0;0;0;0;0;0;0;0;0;0,36;0;0;0,25;0,47;0;0;0;0;0;0;0;0;0;0,24;0;3,8
"situation";6,62;0;0;4,24;0;0;1,49;0;8,33;0;0;0;0;1,52;0,25;0,94;0;0,88;0;2,16;0;0;0;0;0,55;0,12;0;0
"perquisition";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,95;0;0;0;0;0
"twiste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,94;0;0;0;0;0;0;0;0;0;0;0;0;0
"esprit";0;0;0;0;0;0;0;0;0;0;3,33;0,36;0,64;0;0;0;0,46;0;0,94;0;0;0;0;0,19;0;0;0,12;0
"succès";0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;1,49;0;0,46;0;0;0;0;0;0;0;0;0,12;0,12;0,42
"tomber";0;0;0;8,47;2,31;0;1,49;0;0;0,88;0;0;0,64;1,52;0,99;0;0,92;0,88;1,41;0,72;2,6;0;0,2;0;0;0;0,24;0,28
"vouloir";6,62;0;0;0;0;5;1,49;0;0;0;0;1,43;2,55;3,05;3,22;0,47;0,69;0,88;0,47;0;0;2,78;0,39;0;0;0;0,12;0,7
"laisser";6,62;0;3,14;0;0;0;1,49;0;0;0,88;1,66;0,36;0,64;1,52;0,25;7,03;1,15;2,65;0,47;0,72;0;1,11;0;0;0;0,72;0,48;0,42
"époque";0;0;0;0;0;0;0;0;0;0;0;0,36;0,64;0;0,25;7,03;0,23;0;0,94;0;0;0,56;0;0;0;0,12;0,12;0,28
"intervenir";0;0;0;0;0;0;0;0;8,33;0,88;0;0;0,64;0;0;0;0,23;0,88;0;0;0;0;2,96;0;1,11;3,01;4,9;0
"télé";0;0;0;0;0;0;1,49;0;0;2,63;0;0;0;0;1,24;0,94;1,61;0;0;0;0;0;0;0;0;0;0;0,14
"origine";0;0;6,29;0;0;0;2,99;0;0;0;0;0,36;0,64;0;0;0;0,23;2,65;1,88;0;2,6;0,56;0,79;0,38;1,11;1,32;0,12;0,56
"italie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47;0;0;0;0;0;0;0;0;0;0,24;0;1,41
"plusieurs";0;0;0;0;0;0;0;0;0;0,88;0;0;0;1,52;0,74;0,47;0,23;0,88;0,47;2,16;2,6;0,56;0,59;0;0;0,24;0;0,42
"édition";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0,23;0;0;0;0,65;0;0,2;0;3,87;1,08;0;2,81
"répondre";0;0;0;0;0;0;0;0;8,33;0;1,66;0;0;0;0,5;0;0;0;0,94;0,72;0;0,56;0;0;0,55;0,12;0;3,8
