"";"";"";"";"mohammed";""
"120";"iranien";"0.358801047303223";"-0.0855519652548318";"0.831465406365305";"357"
"121";"reporter";"0.345699717179954";"-0.132004382251018";"0.831465406365305";"358"
"122";"ségolène";"0.358801047303223";"-0.0855519652548318";"0.831465406365305";"359"
"123";"soucoupe";"0.276696138868328";"-0.513803876008894";"0.83133257183693";"361"
"124";"construire";"0.289227232156533";"-0.435091424830165";"0.83133257183693";"362"
"125";"parent";"0.284542082882489";"-0.499920811350606";"0.831265244747205";"363"
"126";"héros";"0.274211607276402";"-0.501231456180057";"0.83081215162987";"364"
"127";"mission";"0.250928763856467";"-0.61163773975896";"0.83081215162987";"365"
"128";"robbie";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"366"
"129";"cicatrice";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"367"
"130";"solaire";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"368"
"131";"bermudes";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"369"
"132";"triangle";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"370"
"133";"océan";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"371"
"134";"esprit";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"372"
"135";"voisin";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"373"
"136";"schi";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"374"
"137";"rouch";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"375"
"138";"mercier";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"376"
"139";"décoder";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"377"
"140";"cosmique";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"378"
"141";"brack";"0.280844546207537";"-0.584932932547536";"0.830770299655176";"379"
"142";"visage";"0.280664240552934";"-0.568816569007089";"0.830753922795513";"380"
"143";"explication";"0.280664240552934";"-0.568816569007089";"0.830753922795513";"381"
"144";"tenter";"0.267123147687392";"-0.57231447208985";"0.830173454103024";"382"
"145";"persuader";"0.27835887481629";"-0.501131995019858";"0.830173454103024";"383"
"146";"expliquer";"0.2825848673916";"-0.543564088487973";"0.830044258876796";"384"
"147";"chien";"0.264311146279215";"-0.562278792557211";"0.829594805061608";"385"
"148";"éviter";"0.264311146279215";"-0.562278792557211";"0.829594805061608";"386"
"149";"surprise";"0.260937662016079";"-0.585410346116491";"0.829594805061608";"387"
