"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_M6";"*chaine_NRJ12";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1"
"ukrainien";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"carrière";0;0;0;1;3;2;0;0;0;0;0;0;0;0;5
"examiner";0;0;0;0;0;0;0;0;0;0;0;0;0;15;1
"femme";0;1;0;1;9;6;0;0;0;4;0;0;0;0;3
"journal";0;0;0;1;1;2;0;1;0;0;0;0;0;0;9
"persuader";0;0;0;0;1;2;3;0;1;5;0;0;0;0;4
"général";0;0;27;0;5;0;0;0;0;0;0;0;0;0;1
"he";0;1;0;1;4;1;0;3;0;0;0;0;0;0;1
"étude";0;0;0;4;7;2;0;0;0;2;0;0;0;0;1
"laporte";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"chercher";0;0;0;1;2;2;4;0;3;0;0;0;1;0;3
"eric";0;1;24;1;2;1;0;0;0;0;0;0;0;0;1
"homme";0;0;2;9;10;9;0;7;0;3;0;0;3;17;6
"star";0;0;0;1;6;1;1;0;0;0;0;0;0;0;1
"fois";0;2;1;0;4;4;0;2;0;2;0;0;0;2;4
"aider";1;0;0;0;2;0;1;0;3;1;0;0;0;0;0
"siècle";0;0;0;0;0;2;0;0;0;0;0;0;2;6;1
"voix";0;2;0;0;0;6;0;0;0;2;0;0;0;0;2
"réputation";0;0;0;17;0;0;0;0;0;2;0;0;0;0;0
"voir";1;3;1;4;13;4;1;0;2;4;1;4;1;2;14
"légende";0;0;0;0;0;0;0;2;0;0;0;0;3;4;3
"force";0;0;2;0;2;1;0;1;0;1;0;0;1;0;1
"histoire";0;2;0;0;6;2;0;2;0;1;0;0;2;16;3
"propre";0;0;0;0;4;2;26;1;0;0;0;0;1;2;3
"omar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dettinger";0;0;43;0;0;0;0;0;0;0;0;0;0;0;0
"quotidien";0;0;2;1;8;0;0;1;0;1;0;0;0;0;0
"géant";0;0;0;0;0;1;1;3;0;0;0;0;0;9;0
"suggérer";0;1;0;0;0;0;0;0;0;0;0;0;2;10;0
"famille";0;0;0;2;10;3;3;0;0;0;0;0;0;0;5
"vivre";0;0;0;2;17;1;0;0;0;0;0;0;1;4;4
"comportement";0;0;14;0;0;0;0;0;0;1;0;0;0;0;1
"créer";0;1;0;3;4;0;0;0;5;0;0;0;0;0;0
"acteur";0;0;0;1;2;2;0;0;0;0;0;0;0;0;1
"sauver";0;0;0;0;0;3;50;1;2;2;0;0;0;0;1
"entraîner";0;0;0;0;0;0;26;0;0;0;0;0;0;0;1
"école";0;0;0;7;5;0;0;1;0;0;0;0;0;0;1
"syndicat";0;0;14;0;0;0;0;0;0;0;0;0;0;0;0
"julien";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"cabrol";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"voyage";0;0;11;0;4;4;0;1;0;0;0;0;0;0;2
"scientifique";0;0;0;2;11;3;1;2;0;0;0;2;3;8;5
"aller";0;0;1;4;9;2;2;1;2;4;2;2;0;0;3
"servir";0;0;0;0;3;1;1;0;0;0;0;0;1;5;0
"théoricien";0;0;0;0;0;0;0;0;0;0;0;0;6;22;0
"livre";0;5;1;11;7;4;0;0;0;0;0;0;0;3;1
"revel";0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
"super";0;0;0;2;1;0;55;4;0;0;0;0;0;0;0
