"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_M6";"X.chaine_NRJ12";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1"
"troisième";-0,015;-0,2018;10,2573;0,2452;-1,3827;-0,1762;-1,9973;-0,2699;-0,1037;-0,1641;-0,4283;-0,0506;-0,1203;-0,9743;-0,2303
"cirque";-0,0242;-0,3252;-1,1043;-0,5886;-0,889;-0,8576;13,6235;-0,4351;-0,1671;-0,2644;-0,6904;-0,0816;-0,1939;-1,5706;-1,0163
"travail";-0,0083;-0,112;0,3918;-0,2028;1,1957;0,8638;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,7487
"pari";-0,0134;0,4707;-0,4731;0,2787;6,5179;-0,4729;-1,7752;-0,2399;-0,0922;-0,1458;-0,3807;-0,045;-0,1069;-0,866;-0,1903
"part";-0,0108;0,5452;-0,3442;-0,2637;0,451;2,0857;-1,4421;0,4418;-0,0749;0,6221;-0,3093;1,0929;-0,0869;-0,7035;-0,1346
"dossier";-0,01;-0,1345;0,2986;0,9945;0,9381;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;0,3782;0,6255
"gasnier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"recevoir";-0,0225;-0,3028;-1,0018;-0,5479;1,6557;1,5342;-2,9973;4,6174;-0,1556;-0,2462;-0,6427;-0,076;0,4684;-0,4291;-0,1862
"témoignage";-0,0209;-0,2803;-0,4996;0,4992;3,6856;-0,7391;-2,775;0,6831;-0,144;-0,2279;-0,595;-0,0704;-0,1671;-1,3537;2,6442
"expert";-0,0092;-0,1233;-0,7022;0,3961;4,3132;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,2042;0,2306
"secret";-0,0134;-0,1793;-1,0216;0,2787;-0,2948;-0,145;-1,7752;-0,2399;-0,0922;0,5449;-0,3807;1,0068;1,6172;2,1418;0,4501
"mener";-0,0092;-0,1233;-0,7022;-0,2231;1,057;-0,325;-0,5966;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;0,8887;1,3213
"moment";-0,0092;-0,1233;-0,264;-0,2231;1,057;0,7951;-1,2202;1,2878;-0,0633;-0,1002;-0,2617;-0,0309;0,8078;-0,5952;0,2306
"travers";-0,0092;-0,1233;-0,7022;1,0608;-0,3494;0,2783;-0,5966;0,5004;2,0574;-0,1002;-0,2617;-0,0309;-0,0735;-0,2042;0,6832
"salvatore";-0,0092;-0,1233;-0,7022;-0,2231;-0,3494;10,8309;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;-0,3852
"jimmy";-0,01;-0,1345;8,5008;-0,2434;-0,9216;-0,3546;-1,3311;-0,1799;-0,0691;-0,1093;-0,2854;-0,0338;-0,0802;-0,6494;0,2076
"dewalle";-0,0125;-0,1681;12,9921;-0,3042;-1,1521;-0,4433;-1,6642;-0,2249;-0,0864;-0,1367;-0,3569;-0,0422;-0,1002;-0,8118;-0,5253
"avenir";-0,0092;-0,1233;-0,7022;2,962;1,057;-0,325;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;0,8887;-0,3852
"conseil";1,7207;-0,112;-0,6383;0,4282;0,6741;-0,2955;-1,1092;2,4101;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,7487
"travailler";-0,0083;1,5952;-0,6383;-0,2028;1,8641;0,3067;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;0,7487
"lointain";-0,0301;-0,4038;-2,3007;-0,7309;-2,7679;-1,0649;9,5165;-0,5403;-0,2075;-0,3284;-0,8573;-0,1014;-0,2408;1,277;-0,3329
"invité";-0,0326;3,381;1,1197;5,1639;0,5359;-1,1538;-4,332;2,0109;-0,2249;-0,3558;-0,9288;-0,1098;-0,2609;-2,1131;-0,7354
"objet";-0,0209;-0,2803;-1,5969;-0,5073;-0,2085;4,7656;-2,775;-0,375;0,5493;0,389;-0,595;-0,0704;-0,1671;2,8447;-0,3842
"terrien";-0,0267;-0,3589;-2,0447;-0,6495;-2,4599;-0,4334;11,5444;0,5285;-0,1844;-0,2918;-0,7619;-0,0901;-0,214;-1,7333;0,3415
"laurie";-0,0083;-0,112;-0,6383;13,4461;-0,7679;-0,2955;-1,1092;-0,1499;-0,0576;-0,0911;-0,2379;-0,0281;-0,0668;-0,5411;-0,3501
"chien";-0,0075;-0,1008;-0,5744;-0,1825;-0,2531;6,7811;-0,9982;-0,1349;-0,0518;0,7644;-0,2141;-0,0253;-0,0601;-0,487;-0,3151
"extrait";-0,0092;-0,1233;-0,264;-0,2231;1,6621;0,2783;-1,2202;-0,1649;-0,0633;-0,1002;-0,2617;-0,0309;-0,0735;-0,5952;2,1206
"identifier";-0,02;-0,2691;-1,5329;2,3982;-1,0921;-0,2794;-2,6639;-0,36;-0,1383;1,8879;-0,5712;-0,0675;-0,1604;4,4973;0,5479
