"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"laisser";1;0;1;0;0;0;1;0;0;1;1;1;1;1;1;15;5;3;1;1;0;2;0;0;0;6;4;3
"époque";0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;15;1;0;2;0;0;1;0;0;0;1;1;2
"intervenir";0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;1;1;0;0;0;0;15;0;2;25;41;0
"télé";0;0;0;0;0;0;1;0;0;3;0;0;0;0;5;2;7;0;0;0;0;0;0;0;0;0;0;1
"origine";0;0;2;0;0;0;2;0;0;0;0;1;1;0;0;0;1;3;4;0;4;1;4;2;2;11;1;4
"italie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;10
"plusieurs";0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;1;1;1;1;3;4;1;3;0;0;2;0;3
"édition";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;7;9;0;20
"répondre";0;0;0;0;0;0;0;0;2;0;1;0;0;0;2;0;0;0;2;1;0;1;0;0;1;1;0;27
"présenter";0;0;1;0;2;0;0;0;0;5;1;1;2;0;15;1;5;0;5;1;4;2;3;1;0;8;0;4
"chaîne";0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;5;0;3
"an";0;0;0;0;3;0;0;0;0;1;2;11;4;0;5;3;10;4;12;0;1;11;3;1;3;1;3;4
"au";0;0;2;2;4;0;4;0;4;6;6;23;14;6;18;7;36;8;11;7;9;13;17;7;14;27;12;21
"spatial";0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;2;4;0;0;2;0;1;0;1;0;2;1;2
"écrivain";0;0;0;0;7;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;11;0;2;0;1
"terre";0;0;1;3;2;0;1;0;2;0;2;1;3;4;7;20;4;6;3;3;1;8;5;4;3;14;15;24
"tv";0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;4;0;1;2;0;2
"criminalité";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;41;0
"projet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;2;1;0;3
"retourner";0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2
"sans";0;0;0;0;1;0;1;0;0;2;0;2;3;1;3;2;5;0;1;2;1;4;2;2;1;3;5;1
"animer";0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;1;0
"christophe";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;1;0;3;43;1;1;0;1
"espace";0;0;0;1;0;0;9;0;0;1;0;0;1;0;0;8;12;0;0;6;0;0;0;0;0;5;1;8
"vie";0;0;1;1;1;0;0;0;0;1;0;2;5;2;4;3;6;1;19;0;2;4;11;8;7;22;4;17
"mort";0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;1;0;4;0;0;1;1;2;1;0
"teen";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;28;0;2;33;41;0
