"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"convaincre";1,4843;-0,0058;-0,0305;1,2941;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;0,6489;-0,0578;0,3293;-0,1524;0,8686;2,0116;-0,2078;-0,4312;0,652;-0,2078;-0,1343;0,5369;-0,1745;-0,5054;-0,5193;0,478;-0,8527;0,2458;-0,7226
"si";-0,0517;-0,0209;-0,1091;-0,0809;-0,1483;-0,0685;0,3853;-0,0185;-0,0823;-0,3943;-0,2066;-0,9805;3,6558;-0,2256;-0,7833;-0,3047;1,2774;0,6492;0,2974;-0,154;0,9188;1,2784;-1,0784;-0,673;-0,6276;0,3133;-0,2957;-0,2964
"sa";0,4126;-0,0857;-0,4478;-0,3321;-0,6088;-0,2814;-0,1991;-0,0759;-0,3377;1,1049;0,2371;20,0836;3,1898;0,4492;-0,8099;4,1464;-0,4586;1,1189;2,7829;1,4288;0,6378;0,4426;-1,8305;-5,3449;-0,7908;-5,7078;-5,1849;-1,3671
"se";1,2942;-0,1457;0,5955;0,8518;0,67;0,5233;2,3713;0,5902;-0,574;-0,8979;-1,4414;2,7417;-0,619;-0,2881;-1,1764;0,2973;11,3497;1,0148;-0,3048;2,7164;-0,2736;-0,3226;-2,3378;-0,929;-0,6501;-3,5054;-7,1307;1,8807
"extraterrestre";-0,6234;-0,2517;-0,7073;0,4136;-1,0758;0,2479;0,7284;0,3966;-0,9916;-2,276;-1,6584;-10,3565;-3,6937;0,3706;-3,1713;0,3418;0,7272;5,7338;1,1031;1,1487;0,4173;0,8771;-3,0538;9,6598;-0,8997;-1,2666;0,4763;1,5842
"internet";-0,0279;-0,0113;-0,0589;-0,0437;-0,0801;-0,037;-0,1244;-0,01;-0,0444;2,8814;-0,1116;0,9407;0,3083;-0,1218;-0,7701;1,2157;0,9602;-0,2112;-0,4008;0,3475;0,859;0,2682;-0,1982;-1,0016;-0,3388;-0,5298;-0,9497;-0,1928
"million";-0,0228;-0,0092;-0,048;-0,0356;-0,0652;-0,0302;-0,1014;-0,0081;-0,0362;-0,1735;-0,0909;-0,4313;0,9911;-0,0993;0,793;0,2769;-0,2598;-0,1721;0,2769;-0,2111;-0,2342;-0,2742;-0,7943;-0,8161;-0,2761;-0,7053;1,7144;1,5193
"city";-0,1719;-0,0694;0,2472;-0,2688;-0,4929;-0,2278;-0,7658;-0,0614;-0,2734;-1,3103;-0,6866;-3,2583;-1,8087;-0,7497;-4,7402;-2,4669;-5,1188;-1,2998;-2,4669;-1,5945;-1,7691;-1,3047;3,8879;-4,9653;0,2903;7,2216;28,6082;-8,5793
"2";-0,0476;-0,0192;-0,1003;-0,0744;-0,1364;-0,0631;-0,212;-0,017;-0,0757;-0,3627;2,0234;-0,902;-0,5007;0,4203;4,6632;3,8735;1,9193;-0,3599;-0,2679;0,575;-0,4898;-0,2042;-0,5548;-0,9988;-0,2064;-0,5789;-2,8238;-1,0074
"plein";-0,1045;-0,0422;-0,2204;-0,1635;0,8213;-0,1385;-0,1479;-0,0374;-0,1663;-0,7968;-0,4175;-1,9814;-0,5476;-0,4559;-1,3884;-0,8453;-1,1034;-0,7905;-0,8453;-0,4565;-1,0758;-0,344;3,4355;-3,7491;-0,3483;2,6144;11,1575;-4,0782
