"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"coup";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;1,7969;1,0029;0,4074;0,6182;-0,0496;0,8187;-0,1633;0,7669;0,7454;-0,1633;-0,1055;-0,1171;-0,1371;-0,3971;-0,408;-0,138;-0,67;-0,6751;-0,1897
"jamais";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;0,2887;-0,1741;-0,0722;0,5678;0,3755;-0,1551;-0,1251;1,0034;-0,1535;0,4889;0,4339;-0,1998;-0,5935;-0,2008;-0,4419;-0,982;1,5736
"rester";32;1,1344;1,5186;-0,0698;-0,0518;-0,0949;-0,0439;0,5407;-0,0118;-0,0526;0,9484;-0,1322;0,3813;-0,3483;-0,1444;0,8447;-0,475;0,7622;-0,2503;-0,1501;0,2951;-0,3407;0,2212;-1,1555;-0,6012;-0,4016;-0,2291;0,9229;-0,5399
"visite";19;-0,0197;-0,0079;-0,0414;-0,0307;0,9148;-0,026;-0,0876;-0,007;-0,0313;-0,1498;-0,0785;0,691;-0,2068;0,7469;-0,5419;-0,282;-0,2056;-0,1486;0,3209;0,465;-0,2022;0,3764;0,3425;-0,7048;0,3742;-0,2686;-1,1661;1,832
"apprendre";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;1,9645;-0,1197;-0,0496;0,2887;-0,1633;0,2663;-0,086;0,504;-0,1055;-0,1171;1,4303;0,6633;0,2153;-0,138;-0,67;-0,6751;-0,5678
"volant";29;-0,03;-0,0121;-0,0633;0,9897;0,7455;-0,0397;0,5769;-0,0107;-0,0477;0,3879;1,5131;-0,1995;-0,3156;1,4436;-0,3546;-0,4305;1,3473;1,8338;-0,4305;0,3251;0,2935;0,7043;-1,0471;-1,0758;-0,3639;-0,3343;-1,78;0,3855
"entrer";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;0,8083;-0,1741;-0,0722;-0,137;1,8159;-0,1551;-0,1251;-0,2375;-0,1535;0,4889;-0,1994;-0,5777;-0,5935;-0,2008;0,4559;-0,982;1,5736
"cause";11;-0,0114;-0,0046;-0,024;-0,0178;1,1405;1,4671;0,958;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;1,2947;-0,3388;-0,086;1,2947;0,6661;-0,1171;-0,1371;0,2224;-0,408;0,565;-0,2457;-0,6751;-0,5678
"maintenant";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;0,9583;-0,1415;-0,0586;0,241;0,4452;0,2202;0,6804;-0,193;-0,1247;-0,1384;1,2947;-0,4693;-0,1479;-0,1631;-0,3209;0,6196;-0,671
"média";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;-0,2549;0,5559;-0,0586;-0,3708;-0,193;-0,4004;-0,1017;-0,193;-0,1247;0,5641;-0,162;0,5557;0,5397;-0,1631;1,1016;-0,7978;0,7652
