"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"travers";13;-0,016;-0,1483;-0,4079;1,0342;-0,5493;-0,1474;-0,3498;0,3959;1,8431;-0,0064;-0,1458;-0,1957;-0,2259;0,9626;-0,0437;-0,0851;-0,2822;0,4914;-0,0128
"travailler";14;-0,0172;1,3039;-0,4393;-0,2471;1,0168;-0,1668;-0,9033;-0,2404;-0,0876;-0,0069;-0,157;1,401;-0,2433;-0,054;-0,047;-0,0916;-0,7836;0,4484;-0,0138
"eux";14;-0,0172;-0,1597;-0,4393;-0,2471;1,0168;-0,1668;-0,9033;0,3715;-0,0876;-0,0069;0,5181;-0,6189;-0,2433;-0,054;-0,047;0,7209;0,629;0,4484;-0,0138
"écrire";12;-0,0148;-0,1369;-0,3765;0,4135;0,7891;1,164;-0,7742;-0,2061;-0,0751;-0,0059;0,5745;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;1,0781;-0,0118
"beau";12;-0,0148;-0,1369;-0,3765;-0,2118;1,8987;1,164;-0,7742;-0,2061;-0,0751;-0,0059;0,5745;-0,1714;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,1479;-0,0118
"annonce";11;-0,0135;-0,1254;-0,3451;-0,1941;-0,4264;0,6477;-0,7097;0,4526;-0,0688;-0,0054;-0,1233;1,0822;-0,1912;-0,0424;-0,037;-0,072;-0,6156;1,9126;-0,0108
"toutes";11;-0,0135;-0,1254;0,261;-0,1941;0,486;0,6477;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;0,8572;0,1939;-0,0108
"nouvelle";13;-0,016;-0,1483;0,2153;-0,2294;0,6935;-0,4811;0,58;-0,2232;-0,0814;-0,0064;0,545;-0,1957;-0,2259;-0,0501;-0,0437;-0,0851;-0,2822;0,4914;-0,0128
"mettre";25;1,165;-0,2852;-0,7845;0,1952;0,7991;0,8457;-1,6132;1,149;1,3069;-0,0123;0,3227;-0,5394;-0,4346;-0,0964;-0,084;-0,1636;-0,1923;-0,2106;-0,0246
"élément";11;-0,0135;-0,1254;-0,3451;0,4432;0,9006;-0,4071;-0,7097;0,4526;-0,0688;-0,0054;-0,1233;-0,148;-0,1912;-0,0424;-0,037;-0,072;0,8572;-0,4435;1,6088
"apporter";11;-0,0135;0,6005;-0,3451;0,4432;-0,1717;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;1,0314;-0,037;0,8161;1,4568;-0,4435;-0,0108
