"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"ils";28,57;0;0,39;1,35;3,09;6,27;10,73;4,17;15,07;0;0;0,84;0;21,34;3,5;10,81;7,8;6,68;0
"yacine";0;0;0;10,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"thierry";0;7,28;5,41;0;0,15;1,65;0;1,39;0;0;0;0,28;0;0;0;0;0;0,3;0
"carbonnier";0;0;0;0;0;0;0;0;0;0;0;11,14;0;0;0;0;0;0;0
"jerry";0;0;0;0;0;0,66;1,56;0;0;0;0;0;0;0;0;0;0;0;0
"raid";0;0;5,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"déclaration";0;1,04;2,71;0;0;0;0;0;0;0;0;3,9;0;0;0;0;0;0;0
"contact";0;0;0;0,68;0,29;0,66;0;0;0;0;0;0;0;0;0;3,6;2,67;0,3;0
"the";0;4,16;0;0,68;0,15;0;0;0;0;0;2,11;0,28;0;0;0;0;0,22;0,3;0
"photo";0;1,04;0;0;0,88;1,32;0;0;0;0;0;0,28;0;3,05;0;0;0,45;2,73;0
"transformer";0;0;0;2,03;0,44;0,99;0;0;0;0;1,06;0,28;0;0;0;0;0;0;0
"lci";0;0;5,03;0;0;0;0;0;0;0;0;2,23;0;0;0;0;0;0;0
"bord";0;0;0;0;0,15;2,97;0;0;0;0;0;0;0;0;0;0;0;0,61;0
"jacques";0;0;0;1,35;1,32;0,33;0;0;1,88;0;0;0;0;0;0;0;0;1,52;0
"loin";0;0;0;0;0,44;0,33;0;0;0;0;2,11;0,28;0;0;0;0;0;0,91;0
"connaître";0;1,04;0;0;1,77;1,32;0;1,39;0;0;1,06;0;0;3,05;0;0;1,11;0,3;0
"peupler";0;0;0;0,68;0;0;0;0,69;0;0;0;0;16,48;0;0;0;0;0;0
"commencer";0;0;0,39;0;0,88;0;0;0;0;0;1,06;0,28;0;6,1;0;1,8;0,45;0,3;0
