"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"espoir";-2,2378;2,3897;-0,0459;-0,0165;-0,0269
"trop";-2,2035;2,3936;-0,0709;-0,0255;-0,0416
"chaque";1,9674;-3,3548;-0,0668;2,8612;-0,0392
"20";43,5543;-45,1942;-0,773;-0,278;1,0602
"21";22,2512;-21,0755;-0,3089;-0,1111;-0,1813
"didier";-1,5038;1,6677;-0,0793;-0,0285;-0,0465
"concernant";1,9643;-1,8349;-0,0417;-0,015;-0,0245
"parfois";-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"devoir";-2,4354;1,918;-0,288;-0,1036;2,1535
"récupérer";-1,4898;1,6127;-0,0459;-0,0165;-0,0269
"départ";-8,964;9,6484;-0,2129;-0,0766;-0,1249
"curieux";7,7209;-7,228;-0,1461;-0,0525;-0,0857
"patrick";0,2992;-0,4454;-0,0626;-0,0225;1,0909
"où";-0,3043;0,4058;-0,2045;-0,0736;-0,12
"réussir";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"décontraction";-24,4534;25,7929;-0,3382;-0,1216;-0,1985
"bellver";14,4289;-13,6667;-0,2003;-0,0721;-0,1176
"ou";4,1616;-5,0914;-0,4008;2,3402;0,3786
"celui";-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"lemercier";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"alain";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"samedi";2,227;-3,1307;-0,0459;1,4283;-0,0269
"phénomène";2,4088;-2,5728;-0,1544;-0,0555;0,725
"5";3,3042;-4,2693;-0,0626;-0,0225;1,0909
"catastrophe";-0,3028;0,3531;-0,0542;-0,0195;-0,0318
"endroit";-0,4053;0,4687;-0,0584;-0,021;-0,0343
"péril";-31,4051;33,1257;-0,4342;-0,1562;-0,2549
"lisa";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"programme";1,223;-1,1021;-0,0626;-0,0225;-0,0367
"île";-17,789;19,0523;-0,3674;-0,1321;-0,2157
"sur";2,2302;-1,7198;-3,4688;0,2645;0,493
"grâce";-18,1131;19,4952;-0,4217;-0,1517;-0,2475
"prochain";1,71;-1,5784;-0,0501;-0,018;-0,0294
"enfant";0,6733;-0,5214;-0,2296;-0,0826;-0,1347
"vaisseau";-3,4838;3,8639;-0,1669;-0,06;-0,098
"profiter";-0,4256;0,4809;-0,0417;-0,015;-0,0245
"différents";0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"emmanuel";4,8079;-4,5539;-0,0668;-0,024;-0,0392
"mission";-1,8179;1,4713;0,7991;-0,027;-0,0441
"style";0,4218;-0,6875;1,0381;-0,015;-0,0245
"manière";-2,4524;2,6772;-0,0876;-0,0315;-0,0514
"bout";2,227;-2,082;-0,0459;-0,0165;-0,0269
"organiser";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"beast";-16,5992;17,5084;-0,2296;-0,0826;-0,1347
"affrontement";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
"marionnette";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"blanc";3,1753;-2,9504;-0,0751;-0,027;-0,0441
"passer";1,6146;-1,7755;-0,3089;1,5656;-0,1813
"scooby";-3,6199;3,8181;-0,0501;-0,018;-0,0294
"professeur";-1,2749;1,4468;-0,1043;-0,0375;-0,0612
"dans";0,715;-0,5698;-0,3967;-0,2179;-0,5451
"nathalie";6,3832;-7,401;-0,1085;-0,039;0,8652
"respirer";8,1143;-7,6857;-0,1127;-0,0405;-0,0661
"chaouch";3,0047;-2,846;-0,0417;-0,015;-0,0245
"ainsi";0,6404;-0,866;-0,0668;1,2693;-0,0392
"maison";-0,3696;0,3165;-0,1335;0,98;-0,0784
"tourner";0,4218;-0,3713;-0,0417;-0,015;-0,0245
"vincent";4,1311;-3,8761;-0,0751;-0,027;-0,0441
"intelligence";-0,303;-0,2486;0,8219;-0,0255;-0,0416
"matin";2,4264;-2,2484;-0,0626;-0,0225;-0,0367
"raconter";2,2216;-2,0251;-0,0835;-0,03;-0,049
"année";10,9695;-10,2229;-0,2296;-0,0826;-0,1347
"publicité";3,0047;-2,846;-0,0417;-0,015;-0,0245
"c";1,1569;-0,8349;-0,5429;-0,1953;-0,3187
"duo";6,9533;-6,5401;-0,1168;-0,042;-0,0686
"détruire";-2,4397;2,6271;-0,0626;-0,0225;-0,0367
"bristielle";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"arriver";-0,8179;0,9475;-0,1001;-0,036;-0,0588
"propos";1,9444;-1,7973;-0,0542;-0,0195;-0,0318
"prince";-23,1312;24,4718;-0,3465;-0,1246;-0,2034
"humour";-32,3278;33,7454;-0,7437;-0,2675;-0,1335
"extra";-1,9553;2,1104;-0,0542;-0,0195;-0,0318
"plateau";8,8388;-13,3818;-0,1962;0,8241;2,6234
"monstre";-1,4898;1,6127;-0,0459;-0,0165;-0,0269
"rien";-0,5052;0,5857;-0,0709;-0,0255;-0,0416
"réveiller";-13,0866;13,8648;-0,2045;-0,0736;-0,12
"anne";4,8512;-4,4998;-0,1168;-0,042;-0,0686
"savoir";0,4159;-0,442;0,4705;-0,0645;-0,1053
"question";15,445;-14,4764;-0,2797;-0,1006;-0,1642
"long";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"présentation";4,6888;-5,6927;-0,0835;1,1753;-0,049
"compagnie";-1,1407;1,2514;-0,0501;-0,018;-0,0294
"nasa";3,0317;-2,8396;-0,0584;-0,021;-0,0343
"antique";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"chose";-1,6721;1,8725;-0,1043;-0,0375;-0,0612
"depétrini";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"olivier";4,6888;-4,4021;-0,0835;-0,03;-0,049
"lrem";5,1084;-4,8386;-0,0709;-0,0255;-0,0416
"claviere";5,7096;-5,408;-0,0793;-0,0285;-0,0465
"au_dessus";0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"journaliste";18,2945;-18,2765;-0,359;-0,1291;0,4151
"patron";1,9674;-1,8031;-0,0668;-0,024;-0,0392
"fédération";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"watrin";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"nuit";0,4996;-0,4273;-0,0709;-0,0255;-0,0416
"g";-0,3983;0,4653;-0,0668;-0,024;-0,0392
"permettre";1,5764;-3,4934;-0,1127;-0,0405;4,8076
"tsoukalos";5,409;-5,1233;-0,0751;-0,027;-0,0441
"polémiste";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"nombreux";-8,7708;9,7894;-0,4426;-0,1592;-0,2598
"encore";1,5764;-1,3894;-0,1127;-0,0405;-0,0661
"chalumeau";14,4289;-13,6667;-0,2003;-0,0721;-0,1176
"centre";0,8766;-0,7637;-0,0835;-0,03;-0,049
"lutte";-12,9292;13,8267;-0,2588;-0,0931;-0,1519
"défense";0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"xavier";-3,8482;4,2427;-0,1628;-0,0585;-0,0955
"durant";-9,4158;10,0989;-0,2045;-0,0736;-0,12
"rendre";-1,0676;1,2758;-0,1836;-0,0661;-0,1078
"qu";-12,8983;14,5199;-0,5886;-0,4151;-0,6774
"partie";5,108;-4,6605;-0,1753;-0,063;-0,1029
"partir";1,518;-1,2945;-0,1711;-0,0615;-0,1004
"chemin";-1,7199;1,8588;-0,0501;-0,018;-0,0294
"joe";2,9227;-2,7135;-0,0709;-0,0255;-0,0416
"certaines";4,6888;-4,4021;-0,0835;-0,03;-0,049
"pomart";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"disciple";-6,939;7,319;-0,096;-0,0345;-0,0563
"préparer";-0,303;-0,2486;0,8219;-0,0255;-0,0416
"mère";-2,103;2,353;-0,1252;-0,045;-0,0735
"janvier";3,0047;-2,846;-0,0417;-0,015;-0,0245
"américain";4,2622;-4,4333;0,4624;-0,0661;-0,1078
"soirée";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"conquérant";-24,4534;25,7929;-0,3382;-0,1216;-0,1985
"série";-17,7005;9,1887;11,223;-0,1712;-0,2794
"val";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"humain";-0,4156;0,5396;-0,2045;-0,0736;-0,12
"marier";0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"michaël";3,0047;-2,846;-0,0417;-0,015;-0,0245
"atterrir";-2,2378;2,3897;-0,0459;-0,0165;-0,0269
"fantôme";3,9063;-3,6999;-0,0542;-0,0195;-0,0318
