"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"croire";-0,0332;-0,308;-0,3667;-0,1502;0,2466;0,4191;-0,5858;-0,4637;1,2467;-0,0133;0,8234;-1,1937;-0,4693;-0,1041;1,7379;-0,1767;0,6542;0,6702;-0,0266
"ses";-0,2356;0,4259;-3,9349;-0,9246;0,5055;1,192;21,4977;-0,8745;-1,1982;-0,0941;0,6653;-5,2442;-3,3276;-0,3049;-0,6432;-0,6601;-5,6222;-0,3281;0,4535
"notamment";-0,0135;1,5004;-0,3451;-0,1941;-0,4264;0,2159;-0,7097;2,1197;-0,0688;-0,0054;-0,1233;0,5394;-0,1912;-0,0424;-0,037;0,8161;-0,6156;0,1939;-0,0108
"incident";-0,101;-0,9361;-2,5753;-1,4485;-7,2106;-3,0377;61,3114;-1,4095;-0,5136;-0,0404;-0,4221;-3,6283;-1,4265;-0,3164;-0,2757;-0,537;-2,1065;-3,3096;-0,0808
"recherche";-0,048;7,3777;-1,2241;1,1648;0,5579;0,4024;-2,5171;-0,67;0,3665;-0,0192;0,5818;-1,01;-0,678;-0,1504;-0,1311;0,9384;-1,3795;0,5826;-0,0384
"garçon";-0,0135;-0,1254;-0,3451;-0,1941;0,486;2,0372;-0,7097;1,1839;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;1,6088
"environnement";-0,0357;-0,3308;-0,9101;-0,1688;-1,1019;-0,2412;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;-1,2822;28,8424;-0,1118;-0,0974;-0,1898;-1,6235;-1,1696;-0,0285
"nucléaire";-0,0123;0,6365;0,2887;0,4764;0,2433;-0,3701;-0,6452;1,26;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;0,9564;-0,4032;-0,0098
"belhousse";-0,0185;-0,1711;-0,4707;21,0293;-1,3177;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,6049;-0,0148
"témoin";-0,0381;-0,3536;7,2557;-0,5472;-0,5151;-0,2758;-2,0006;-0,5325;-0,194;-0,0152;-0,3477;-0,7348;0,4626;-0,1195;-0,1042;0,428;0,497;0,2785;-0,0305
