"";"banalfreq";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"an";82;1,7423;-1,8652;-0,3423;-0,1231;1,1074
"spatial";20;-0,3877;0,4616;-0,0835;-0,03;-0,049
"terre";136;-0,89;1,0895;-0,2033;-0,2043;-0,3334
"projet";11;0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"retourner";10;-0,7676;0,8477;-0,0417;-0,015;-0,0245
"sans";42;-0,2536;0,3363;-0,1753;-0,063;-0,1029
"espace";52;-0,4746;0,4714;0,4053;-0,0781;-0,1274
"mort";16;0,9746;-0,866;-0,0668;-0,024;-0,0392
"tester";10;-0,4256;0,2405;-0,0417;1,469;-0,0245
"notre";52;1,4449;-1,2021;-0,217;-0,0781;-0,1274
"signe";11;0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"comprendre";49;-0,5516;0,6997;-0,2045;-0,0736;-0,12
"jusqu_à";12;-0,4141;0,4736;-0,0501;-0,018;-0,0294
"diffusion";11;1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"leçon";14;1,5375;-1,4037;-0,0584;-0,021;-0,0343
"plan";26;-0,377;0,4601;-0,1085;-0,039;-0,0637
"toujours";39;-0,304;0,2752;-0,1628;0,8993;-0,0955
"croire";28;0,3685;-0,6384;-0,1168;-0,042;1,9657
"recherche";59;0,6566;-0,5024;-0,2463;-0,0886;-0,1446
"garçon";23;-0,4732;0,5635;-0,096;-0,0345;-0,0563
"vol";10;-1,266;1,3731;-0,0417;-0,015;-0,0245
"mystère";17;0,2991;-0,2486;-0,0709;-0,0255;-0,0416
"hôpital";10;-0,7676;0,8477;-0,0417;-0,015;-0,0245
