"";"classe 1";"classe 2"
"sylvie";0,814;-0,814
"surprenant";-0,444;0,444
"supercherie";-0,01;0,01
"succession";0,242;-0,242
"stellaire";-3,326;3,326
"soutenir";0,814;-0,814
"souhaiter";-0,01;0,01
"sketch";3,631;-3,631
"siège";0,242;-0,242
"simplement";-1,219;1,219
"simple";0,814;-0,814
"signaler";-3,326;3,326
"seulement";-4,439;4,439
"septembre";2,72;-2,72
"scully";2,72;-2,72
"schi";-0,01;0,01
"sceptique";-1,219;1,219
"saveur";3,631;-3,631
"sauvage";-3,326;3,326
"samedi";0,814;-0,814
"rôle";3,631;-3,631
"révélation";-4,439;4,439
"récupérer";0,814;-0,814
"récemment";-0,01;0,01
"russie";-3,326;3,326
"rue";0,814;-0,814
"rtbf";2,72;-2,72
"rouch";-4,439;4,439
"roman";-4,439;4,439
"rock";3,631;-3,631
"rmc";3,631;-3,631
"ressentir";0,814;-0,814
"ressembler";-0,01;0,01
"repère";-0,444;0,444
"religion";-4,439;4,439
"rejoindre";-0,01;0,01
"regarder";0,814;-0,814
"regard";-1,219;1,219
"radar";-1,219;1,219
"quartier";-0,01;0,01
"pêcheur";2,72;-2,72
"prêtre";-0,444;0,444
"prêt";-1,219;1,219
"proximité";-1,219;1,219
"projeter";-1,219;1,219
"produit";-0,01;0,01
"producteur";3,631;-3,631
"prochain";-0,444;0,444
"printemps";3,631;-3,631
"poste";0,814;-0,814
"population";-3,326;3,326
"planet";-3,326;3,326
"placer";-1,219;1,219
"physicien";-1,219;1,219
"passage";0,814;-0,814
"pascal";3,631;-3,631
"particulièrement";0,242;-0,242
"palais";0,814;-0,814
"paix";-1,219;1,219
"oublier";0,814;-0,814
"oser";-0,01;0,01
"oliver";-0,444;0,444
"officiel";3,631;-3,631
"oeuvre";0,814;-0,814
"obtenir";3,631;-3,631
"obliger";-0,01;0,01
"numérique";-4,439;4,439
"nourriture";-3,326;3,326
"normal";-1,219;1,219
"niveau";-4,439;4,439
"nikos";3,631;-3,631
"net";0,814;-0,814
"ness";0,242;-0,242
"neil";-4,439;4,439
"nazca";-4,439;4,439
"mêler";2,72;-2,72
"méchant";3,631;-3,631
"mr";3,631;-3,631
"mourir";0,242;-0,242
"morley";2,72;-2,72
"morceau";-0,444;0,444
"mont";-0,01;0,01
"minus";-4,439;4,439
"mimosa";3,631;-3,631
"mercier";0,814;-0,814
"max";0,242;-0,242
"matériel";3,631;-3,631
"matinal";3,631;-3,631
"mathieu";-0,01;0,01
"marque";0,814;-0,814
"manipuler";-4,439;4,439
"manifester";-0,444;0,444
"manger";-1,219;1,219
"maitre";2,72;-2,72
"luxe";3,631;-3,631
