"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"technopolis";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"talent";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"séparer";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"sénateur";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"sébastien";-1,874;5,177;-0,906;3,302;-0,267;-0,202
"synthèse";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"surprendre";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"supergirl";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"sud_ouest";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"studio";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"steven";-1,874;0,552;0,175;3,302;-0,267;-0,202
"sphère";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"souterrain";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"souligner";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"soulever";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"sortie";-1,874;-0,624;0,175;16,85;-0,267;-0,202
"soin";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"sevan";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"session";-1,874;14,5;-0,906;-0,221;-0,267;-0,202
"serpent";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"semer";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"scandale";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"saison";-1,874;0,552;0,175;3,302;-0,267;-0,202
"résoudre";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"répéter";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"régulièrement";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"réfugier";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"rédaction";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"réchauffement";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"réaction";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"russe";-1,874;-0,624;3,202;3,302;-0,267;-0,202
"royaume";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"roux";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"route";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"rire";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"rice";-1,874;-0,624;3,202;3,302;-0,267;-0,202
"retraite";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"res";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"représentation";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"relater";-0,032;-0,624;3,202;-0,221;-0,267;-0,202
"relancer";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"reconstitution";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"raphaël";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"racisme";-1,874;0,552;0,175;3,302;-0,267;-0,202
"quatrième";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"qualité";-1,874;0,552;3,202;-0,221;-0,267;-0,202
"période";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"pécresse";-1,874;0,552;0,175;3,302;-0,267;-0,202
"pâté";-1,874;0,552;-0,906;16,85;-0,267;-0,202
"prévoir";-0,032;-0,624;0,175;3,302;-0,267;-0,202
"progrès";-0,032;-0,624;0,175;-0,221;-0,267;3,731
"proche";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"prix";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"primitif";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"prime";-1,874;0,552;-0,906;16,85;-0,267;-0,202
"poétique";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"poubelle";1,017;0,552;-0,906;-0,221;-0,267;-0,202
