"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"valentin";0;0;0;0;2,45;0;0
"cnews";0;0;0;0;3,45;0;0
"élément";0;1,61;0;11,9;1,01;0;0
"groupe";0;0,54;0;0;1,58;5,73;0
"entier";0,82;10,23;0;0;0,14;0;0
"humour";14,2;0;0;0;1,58;0;0
"langlois";0;0;0;0;2,01;0;0
"frédéric";0;0;0;0;4,75;2,87;0
"boucher";0;0;0;0;1,58;0;0
"courir";7,1;0;0;11,9;1,01;0;130,43
"haut";0;0;0;0;3,17;0;0
"antoine";0;0;0;0;3,31;0;0
"nombreux";21,3;5,92;0;0;1,3;0;0
"apporter";0;2,69;0;0;0,58;5,73;0
"revue";0;0;0;0;1,44;0;0
"média";0;0,54;0;0;1,73;0;0
"gotham";7,1;0;0;0;0;0;0
"animation";7,1;0;0;0;0;0;0
"cnrs";0;0;0;0;1,58;0;0
"chanteur";0;0;0;0;1,87;0;0
"chercheur";0;0;5,59;0;1,3;0;0
"départ";11,74;0;0;0;0,29;0;0
"bellver";0;0;0;0;6,91;0;0
"porter";0;2,15;5,59;0;0,72;0;0
"envoyer";1,09;0,54;0;0;1,01;0;43,48
"alain";0;3,23;0;0;1,01;0;0
"phénomène";0;7;11,17;0;4,89;5,73;0
"péril";13,38;0;0;0;0;0;0
"île";21,03;1,61;0;0;0,72;0;0
"sud";0;1,08;0;0;1,15;0;0
"christian";0;0;0;0;1,44;0;0
"enfant";1,37;2,15;16,76;11,9;4,03;5,73;0
"vaisseau";2,73;2,69;11,17;23,81;0,29;8,6;0
"emmanuel";0;0,54;0;0;1,87;0;0
"bout";0;1,61;0;0;1,01;0;0
"affrontement";0;0;0;0;1,87;0;0
"blanc";0;1,61;0;0;1,87;0;0
"passer";0,82;12,38;11,17;0;3,02;5,73;0
"professeur";0;1,61;22,35;0;1,44;11,46;0
"chaouch";0;0;0;0;1,44;0;0
"maison";0,55;1,08;16,76;0;1,73;2,87;0
"bfm";0;0;0;0;2,73;0;0
"arriver";1,37;1,08;0;23,81;0,86;2,87;0
"tourner";0;0;0;0;1,15;5,73;0
"vincent";0;0;0;0;1,58;2,87;0
"matin";0;0;0;0;1,73;0;0
"raconter";0,27;3,23;0;0;3,31;0;0
"année";0,27;12,38;5,59;0;3,74;0;0
"bristielle";0;0;0;0;3,02;0;0
"propos";0,27;0;0;0;1,73;0;0
"prince";7,1;0;0;0;0;0;0
"plateau";0;0;0;0;5,33;0;0
"réveiller";11,74;0;0;0;0,14;0;0
"anne";0;0;0;0;3,17;0;0
