"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"animation";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
"cnrs";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"chanteur";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"chercheur";-1,4241;-0,6644;0,8909;-0,0279;1,7621;-0,1173;-0,0076
"départ";21,1633;-2,9939;-0,2693;-0,1259;-11,6792;-0,5285;-0,0344
"bellver";-6,8475;-3,1939;-0,2873;-0,1343;13,2578;-0,5638;-0,0367
"porter";-1,4241;1,3809;0,8909;-0,0279;-0,2622;-0,1173;-0,0076
"envoyer";0,2892;-0,3654;-0,0777;-0,0363;0,2305;-0,1525;1,6461
"alain";-1,8516;2,2476;-0,0777;-0,0363;0,2305;-0,1525;-0,0099
"phénomène";-7,2764;1,6397;0,8133;-0,1427;1,4721;0,4027;-0,039
"péril";27,23;-3,2606;-0,2933;-0,1371;-16,1232;-0,5756;-0,0375
"île";33,3027;-2,9096;-0,5094;-0,2382;-20,1952;-0,9998;-0,0651
"sud";-1,4241;0,3714;-0,0598;-0,0279;1,1007;-0,1173;-0,0076
"christian";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"enfant";-2,0418;-0,6002;1,6831;0,6163;1,129;0,4972;-0,0329
"vaisseau";0,9812;0,6072;1,376;1,9902;-5,3032;1,6011;-0,0183
"emmanuel";-1,9941;-0,4097;-0,0837;-0,0391;2,7319;-0,1642;-0,0107
"bout";-1,4241;0,7989;-0,0598;-0,0279;0,6461;-0,1173;-0,0076
"affrontement";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"blanc";-2,2792;0,397;-0,0956;-0,0447;1,7117;-0,1877;-0,0122
"passer";-4,1156;7,0184;0,8133;-0,1427;-1,2245;0,4027;-0,039
"professeur";-2,9921;0,2299;3,7745;-0,0587;-0,4097;2,6845;-0,016
"chaouch";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"maison";-1,2759;-0,351;2,6183;-0,0559;0,4608;0,3794;-0,0153
"bfm";-2,7069;-1,2628;-0,1136;-0,0531;5,2397;-0,2229;-0,0145
"arriver";0,3216;-0,2225;-0,0956;2,3375;-0,7957;0,4548;-0,0122
"tourner";-1,4241;-0,6644;-0,0598;-0,0279;1,1007;1,5585;-0,0076
"vincent";-1,7091;-0,7973;-0,0717;-0,0335;2,2418;0,5578;-0,0092
"matin";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"raconter";-3,1733;0,6101;-0,1794;-0,0839;2,1695;-0,3521;-0,0229
"année";-5,9565;7,0184;0,2969;-0,1427;-0,3582;-0,5991;-0,039
"bristielle";-2,9921;-1,3958;-0,1255;-0,0587;5,7919;-0,2464;-0,016
"propos";-1,0699;-0,8638;-0,0777;-0,0363;2,4858;-0,1525;-0,0099
"prince";14,4228;-1,7285;-0,1555;-0,0727;-8,5439;-0,3051;-0,0199
"plateau";-5,2756;-2,4609;-0,2213;-0,1035;10,2135;-0,4344;-0,0283
"réveiller";22,3783;-2,9273;-0,2633;-0,1231;-12,7661;-0,5167;-0,0336
"anne";-3,1347;-1,4623;-0,1315;-0,0615;6,068;-0,2581;-0,0168
"question";-4,4189;0,3432;-0,1854;-0,0867;3,4838;-0,3639;-0,0237
"long";-1,0699;2,2476;-0,0777;-0,0363;-0,3852;-0,1525;-0,0099
"présentation";-2,4217;0,3554;-0,1016;-0,0475;1,9104;-0,1994;-0,013
"nasa";-1,1854;0,2142;-0,0837;-0,0391;1,3292;-0,1642;-0,0107
"yves";-2,5643;-0,5965;-0,1076;-0,0503;3,7336;-0,2112;-0,0137
"théâtre";-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"chose";-0,4343;-0,7308;2,0263;-0,0307;-0,3783;1,479;-0,0084
"olivier";-1,6615;-0,2843;-0,1076;-0,0503;2,1133;-0,2112;-0,0137
"lrem";-2,4217;-1,1297;-0,1016;-0,0475;4,6877;-0,1994;-0,013
"claviere";-2,1366;-0,9967;-0,0897;-0,0419;4,1358;-0,176;-0,0115
"figure";10,5259;-0,4346;-0,1794;-0,0839;-8,3162;-0,3521;-0,0229
"patron";-0,6896;-0,9303;-0,0837;-0,0391;1,93;-0,1642;-0,0107
"fédération";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"watrin";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"nuit";-0,8447;0,3223;-0,0657;-0,0307;0,4603;0,59;-0,0084
"permettre";-1,9063;1,787;-0,1196;-0,0559;0,2835;0,3794;-0,0153
"tsoukalos";-2,5643;15,3007;-0,1076;-0,0503;-5,9123;-0,2112;-0,0137
"polémiste";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"galley";-1,4241;-0,6644;-0,0598;-0,0279;2,7564;-0,1173;-0,0076
"pomart";-2,1366;-0,9967;-0,0897;-0,0419;4,1358;-0,176;-0,0115
"chalumeau";-6,8475;-3,1939;-0,2873;-0,1343;13,2578;-0,5638;-0,0367
