"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"213";213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"214";214;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"215";215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"216";216;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"217";217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"218";218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"219";219;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"220";220;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"221";221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"222";222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"223";223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"224";224;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"225";225;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"226";226;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"227";227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"228";228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"229";229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"230";230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"231";231;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"232";232;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"233";233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"234";234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"235";235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"236";236;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"237";237;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"238";238;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"239";239;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"240";240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"241";241;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"242";242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"243";243;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"244";244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"245";245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"246";246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"247";247;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"248";248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"249";249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250";250;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"251";251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"252";252;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"253";253;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"254";254;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"255";255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"256";256;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"257";257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"258";258;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"259";259;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"260";260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"261";261;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"262";262;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"263";263;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"264";264;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"265";265;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"266";266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"267";267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"268";268;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"269";269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"270";270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"271";271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"272";272;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"273";273;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"274";274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"275";275;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"276";276;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"277";277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"278";278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"279";279;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"280";280;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"281";281;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"282";282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"283";283;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"284";284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"285";285;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"286";286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"287";287;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"288";288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"289";289;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"290";290;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"291";291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"292";292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"293";293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"294";294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"295";295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"296";296;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"297";297;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"298";298;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"299";299;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"300";300;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"301";301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"302";302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"303";303;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"304";304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"305";305;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"306";306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"307";307;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"308";308;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"309";309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"310";310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"311";311;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"312";312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"313";313;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"314";314;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"315";315;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"316";316;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
