"V1";"V2";"V3";"V4";"V5";"V6"
" 3";" 3";"100.00";" 13.88";"nombreux";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"millier";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"futuriste";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"fou";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"fondateur";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"fils";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"38z";"1.951159e-04"
" 3";" 3";"100.00";" 13.88";"37z";"1.951159e-04"
" 5";" 7";" 71.43";" 13.86";"mission";"1.970539e-04"
" 7";"12";" 58.33";" 13.67";"vérité";"2.180347e-04"
" 4";" 5";" 80.00";" 13.28";"oeil";"2.683801e-04"
" 4";" 5";" 80.00";" 13.28";"civilisation";"2.683801e-04"
" 4";" 5";" 80.00";" 13.28";"vaisseau";"2.683801e-04"
" 4";" 5";" 80.00";" 13.28";"studio";"2.683801e-04"
" 6";"10";" 60.00";" 12.31";"temps";"4.505002e-04"
" 5";" 8";" 62.50";" 11.02";"monde";"9.027062e-04"
" 5";" 8";" 62.50";" 11.02";"nasa";"9.027062e-04"
" 6";"11";" 54.55";" 10.28";"annonce";"1.345121e-03"
" 4";" 6";" 66.67";"  9.85";"univers";"1.701283e-03"
" 4";" 6";" 66.67";"  9.85";"contact";"1.701283e-03"
" 4";" 6";" 66.67";"  9.85";"voyage";"1.701283e-03"
" 4";" 6";" 66.67";"  9.85";"humain";"1.701283e-03"
" 3";" 4";" 75.00";"  8.97";"channel";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"video";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"us";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"jour";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"complet";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"social";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"personnage";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"dernier";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"blanc";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"année";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"short";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"ex";"2.745354e-03"
" 3";" 4";" 75.00";"  8.97";"apollo";"2.745354e-03"
" 5";" 9";" 55.56";"  8.85";"i";"2.926328e-03"
" 5";" 9";" 55.56";"  8.85";"trouver";"2.926328e-03"
" 4";" 7";" 57.14";"  7.45";"ufo";"6.327205e-03"
" 4";" 7";" 57.14";"  7.45";"science";"6.327205e-03"
" 4";" 7";" 57.14";"  7.45";"lune";"6.327205e-03"
" 3";" 5";" 60.00";"  6.11";"premier";"1.345264e-02"
" 3";" 5";" 60.00";"  6.11";"conscience";"1.345264e-02"
" 3";" 5";" 60.00";"  6.11";"photo";"1.345264e-02"
" 3";" 5";" 60.00";"  6.11";"tomber";"1.345264e-02"
