"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"olivier";0,69;0,78;0,23;0,59
"lrem";0;0;0,93;0,08
"claviere";0;0;0;1,27
"figure";0;0;0,93;1,18
"patron";0;0;0,75;0,08
"fédération";0;0;0,64;0
"watrin";0;0;0;0,93
"nuit";0,23;0,39;0,29;0,25
"permettre";0,46;0,19;0,58;0,59
"tsoukalos";0;0;0;1,52
"polémiste";0;0;0,64;0,25
"galley";0;0,97;0,29;0
"pomart";0;0;0,87;0
"encore";0,46;0,39;0,23;0,51
"chalumeau";0;0;0;4,05
"xavier";0;0,78;0,06;0,42
"durant";0,23;0,19;2,55;0,17
"rendre";0,91;2,14;0,93;1,01
"qu";7,77;3,69;4,17;2,45
"partie";0,69;0;0,29;1,01
"partir";0,23;0,58;0,87;0,59
"marier";0,69;1,17;0,23;0,17
"joe";0;0;0,81;0,08
"certaines";0;0,39;0,17;1,01
"disciple";0;0;0,81;0,76
"préparer";0,69;0;0,29;0,17
"mère";0;0,39;0,35;0,17
"américain";0,46;0,19;0,46;1,77
"conquérant";0;0;0,81;1,01
"série";0,23;0,97;0,98;1,35
"val";0,23;0;0,87;0
"humain";1,14;0;0,87;1,52
"courant";2,52;0;0;0,08
"décrire";1,37;0,19;0;0,42
"fantôme";0;1,75;0;0,17
